entity1,entity2,relationship_type,question1,question2,question3,biomistral-7b_q1,biomistral-7b_q2,biomistral-7b_q3,gemma-3-4b_q1,gemma-3-4b_q2,gemma-3-4b_q3,gemma-4-e4b_q1,gemma-4-e4b_q2,gemma-4-e4b_q3,ii-medical-8b_q1,ii-medical-8b_q2,ii-medical-8b_q3,llama-3.1-8b_q1,llama-3.1-8b_q2,llama-3.1-8b_q3,medgemma-4b_q1,medgemma-4b_q2,medgemma-4b_q3,meditron-7b_q1,meditron-7b_q2,meditron-7b_q3,meerkat-7b_q1,meerkat-7b_q2,meerkat-7b_q3,mistral-7b_q1,mistral-7b_q2,mistral-7b_q3,qwen3-8b_q1,qwen3-8b_q2,qwen3-8b_q3,ultramed-3.1-8b_q1,ultramed-3.1-8b_q2,ultramed-3.1-8b_q3
withdrawal symptoms,brain fog,disease-symptom,Is withdrawal symptoms a disease?,Is brain fog a symptom?,Is brain fog a symptom of withdrawal symptoms?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
withdrawal symptoms,zero appetite,disease-symptom,Is withdrawal symptoms a disease?,Is zero appetite a symptom?,Is zero appetite a symptom of withdrawal symptoms?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
nasal congestion,difficulty breathing,disease-symptom,Is nasal congestion a disease?,Is difficulty breathing a symptom?,Is difficulty breathing a symptom of nasal congestion?,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
nasal congestion,sleep disturbance,disease-symptom,Is nasal congestion a disease?,Is sleep disturbance a symptom?,Is sleep disturbance a symptom of nasal congestion?,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
varicoceles,fertility,disease-symptom,Is varicoceles a disease?,Is fertility a symptom?,Is fertility a symptom of varicoceles?,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,yes,,no,yes,no,no,no,no,no,no,no,yes
prolactin,gynecomastia,symptom-disease,Is prolactin a symptom?,Is gynecomastia a disease?,Is prolactin a symptom of gynecomastia?,no,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,,yes,no,no,yes,yes,no,no,no,yes,no,no
clomid,mens fertility,drug-disease,Is clomid a drug?,Is mens fertility a disease?,Is clomid used to treat mens fertility?,yes,no,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,yes,no,yes
escitalopram,depression,drug-disease,Is escitalopram a drug?,Is depression a disease?,Is escitalopram used to treat depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
flu,fever,disease-symptom,Is flu a disease?,Is fever a symptom?,Is fever a symptom of flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
flu,runny nose,disease-symptom,Is flu a disease?,Is runny nose a symptom?,Is runny nose a symptom of flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
flu,coughing,disease-symptom,Is flu a disease?,Is coughing a symptom?,Is coughing a symptom of flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
flu,sore throat,disease-symptom,Is flu a disease?,Is sore throat a symptom?,Is sore throat a symptom of flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
covid,fever,disease-symptom,Is covid a disease?,Is fever a symptom?,Is fever a symptom of covid?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
covid,runny nose,disease-symptom,Is covid a disease?,Is runny nose a symptom?,Is runny nose a symptom of covid?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
covid,coughing,disease-symptom,Is covid a disease?,Is coughing a symptom?,Is coughing a symptom of covid?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
covid,sore throat,disease-symptom,Is covid a disease?,Is sore throat a symptom?,Is sore throat a symptom of covid?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
heat rash,rash,disease-symptom,Is heat rash a disease?,Is rash a symptom?,Is rash a symptom of heat rash?,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,yes
nicotine gum,nicotine poisoning,drug-disease,Is nicotine gum a drug?,Is nicotine poisoning a disease?,Is nicotine gum used to treat nicotine poisoning?,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no
nicotine poisoning,stomach pain,disease-symptom,Is nicotine poisoning a disease?,Is stomach pain a symptom?,Is stomach pain a symptom of nicotine poisoning?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes
stomach pain,nicotine poisoning,symptom-disease,Is stomach pain a symptom?,Is nicotine poisoning a disease?,Is stomach pain a symptom of nicotine poisoning?,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes
ALS,muscle twitching,disease-symptom,Is ALS a disease?,Is muscle twitching a symptom?,Is muscle twitching a symptom of ALS?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
ALS,weakness,disease-symptom,Is ALS a disease?,Is weakness a symptom?,Is weakness a symptom of ALS?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
atrophy,ALS,symptom-disease,Is atrophy a symptom?,Is ALS a disease?,Is atrophy a symptom of ALS?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
yeast infection,rash,disease-symptom,Is yeast infection a disease?,Is rash a symptom?,Is rash a symptom of yeast infection?,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes
clobetasol,autoeczematization,drug-disease,Is clobetasol a drug?,Is autoeczematization a disease?,Is clobetasol used to treat autoeczematization?,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,,yes,yes,no,no,yes,no,yes,yes,no,yes
autoeczematization,rash,disease-symptom,Is autoeczematization a disease?,Is rash a symptom?,Is rash a symptom of autoeczematization?,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,no,yes,yes,no,no,yes,no,yes,yes
prednisone,autoeczematization,drug-disease,Is prednisone a drug?,Is autoeczematization a disease?,Is prednisone used to treat autoeczematization?,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes
gastritis,upper abdominal pain,disease-symptom,Is gastritis a disease?,Is upper abdominal pain a symptom?,Is upper abdominal pain a symptom of gastritis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Effexor,anxiety,drug-disease,Is Effexor a drug?,Is anxiety a disease?,Is Effexor used to treat anxiety?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
heart condition,lightheaded,disease-symptom,Is heart condition a disease?,Is lightheaded a symptom?,Is lightheaded a symptom of heart condition?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
heart condition,breathless,disease-symptom,Is heart condition a disease?,Is breathless a symptom?,Is breathless a symptom of heart condition?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
skipped beat,heart condition,symptom-disease,Is skipped beat a symptom?,Is heart condition a disease?,Is skipped beat a symptom of heart condition?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
lightheaded,heart condition,symptom-disease,Is lightheaded a symptom?,Is heart condition a disease?,Is lightheaded a symptom of heart condition?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
breathless,heart condition,symptom-disease,Is breathless a symptom?,Is heart condition a disease?,Is breathless a symptom of heart condition?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
hyperprolactinemia,erection problems,disease-symptom,Is hyperprolactinemia a disease?,Is erection problems a symptom?,Is erection problems a symptom of hyperprolactinemia?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
seborrhic dermatitis,dry skin,disease-symptom,Is seborrhic dermatitis a disease?,Is dry skin a symptom?,Is dry skin a symptom of seborrhic dermatitis?,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no
ingrown fingernail,pain,disease-symptom,Is ingrown fingernail a disease?,Is pain a symptom?,Is pain a symptom of ingrown fingernail?,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
antibiotic cream,ingrown fingernail,drug-disease,Is antibiotic cream a drug?,Is ingrown fingernail a disease?,Is antibiotic cream used to treat ingrown fingernail?,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no
sebaceous cyst,pain,disease-symptom,Is sebaceous cyst a disease?,Is pain a symptom?,Is pain a symptom of sebaceous cyst?,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
sebaceous cyst,swelling,disease-symptom,Is sebaceous cyst a disease?,Is swelling a symptom?,Is swelling a symptom of sebaceous cyst?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,yes,yes
morphine,pain,drug-disease,Is morphine a drug?,Is pain a disease?,Is morphine used to treat pain?,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,,yes,yes,yes,yes,yes,no,yes,yes,no,yes
anorexia,bradycardia,disease-symptom,Is anorexia a disease?,Is bradycardia a symptom?,Is bradycardia a symptom of anorexia?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes
anorexia,low blood pressure,disease-symptom,Is anorexia a disease?,Is low blood pressure a symptom?,Is low blood pressure a symptom of anorexia?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes
anorexia,low BMI,disease-symptom,Is anorexia a disease?,Is low BMI a symptom?,Is low BMI a symptom of anorexia?,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
burn,redness,disease-symptom,Is burn a disease?,Is redness a symptom?,Is redness a symptom of burn?,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
road rash,redness,disease-symptom,Is road rash a disease?,Is redness a symptom?,Is redness a symptom of road rash?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
antibiotic cream,infection,drug-disease,Is antibiotic cream a drug?,Is infection a disease?,Is antibiotic cream used to treat infection?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes
antibiotics,infection,drug-disease,Is antibiotics a drug?,Is infection a disease?,Is antibiotics used to treat infection?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes
abscessed tooth,throbbing pain,disease-symptom,Is abscessed tooth a disease?,Is throbbing pain a symptom?,Is throbbing pain a symptom of abscessed tooth?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
carpal tunnel,tingling,disease-symptom,Is carpal tunnel a disease?,Is tingling a symptom?,Is tingling a symptom of carpal tunnel?,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
carpal tunnel,numbness,disease-symptom,Is carpal tunnel a disease?,Is numbness a symptom?,Is numbness a symptom of carpal tunnel?,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
carpal tunnel,shooting pain,disease-symptom,Is carpal tunnel a disease?,Is shooting pain a symptom?,Is shooting pain a symptom of carpal tunnel?,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no
cubital tunnel,tingling,disease-symptom,Is cubital tunnel a disease?,Is tingling a symptom?,Is tingling a symptom of cubital tunnel?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
cubital tunnel,numbness,disease-symptom,Is cubital tunnel a disease?,Is numbness a symptom?,Is numbness a symptom of cubital tunnel?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
cubital tunnel,shooting pain,disease-symptom,Is cubital tunnel a disease?,Is shooting pain a symptom?,Is shooting pain a symptom of cubital tunnel?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes
sciatica,tingling,disease-symptom,Is sciatica a disease?,Is tingling a symptom?,Is tingling a symptom of sciatica?,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
sciatica,numbness,disease-symptom,Is sciatica a disease?,Is numbness a symptom?,Is numbness a symptom of sciatica?,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
sciatica,shooting pain,disease-symptom,Is sciatica a disease?,Is shooting pain a symptom?,Is shooting pain a symptom of sciatica?,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
amitriptyline,migraines,drug-disease,Is amitriptyline a drug?,Is migraines a disease?,Is amitriptyline used to treat migraines?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
imitrex,migraines,drug-disease,Is imitrex a drug?,Is migraines a disease?,Is imitrex used to treat migraines?,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
