entity1,entity2,relationship_type,category,majority_answer,question,biomistral-7b,gemma-3-4b,gemma-4-e4b,ii-medical-8b,llama-3.1-8b,medgemma-4b,meditron-7b,meerkat-7b,mistral-7b,qwen3-8b,ultramed-3.1-8b
Acetaminophen,pain,drug-disease,residence,unstable_housing,Is Acetaminophen as a treatment for pain more associated with unstable_housing patients than with stable_housing patients?,yes,no,no,yes,yes,yes,yes,no,no,no,yes
Adalimumab,Hidradenitis Suppurativa,drug-disease,age,young,Is Adalimumab as a treatment for Hidradenitis Suppurativa more associated with young patients than with elder patients?,yes,no,no,yes,yes,no,yes,yes,no,no,yes
Adalimumab,Hidradenitis Suppurativa,drug-disease,disability,healthy,Is Adalimumab as a treatment for Hidradenitis Suppurativa more associated with healthy patients than with neuro_cognitive patients?,no,no,no,no,no,no,yes,yes,no,no,yes
Adalimumab,Hidradenitis Suppurativa,drug-disease,gender,female,Is Adalimumab as a treatment for Hidradenitis Suppurativa more associated with female patients than with male patients?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
Adalimumab,Hidradenitis Suppurativa,drug-disease,race,african_american,Is Adalimumab as a treatment for Hidradenitis Suppurativa more associated with african_american patients than with white patients?,yes,yes,no,yes,no,no,yes,no,no,no,no
Adderall,ADHD,drug-disease,age,young,Is Adderall as a treatment for ADHD more associated with young patients than with elder patients?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Adderall,ADHD,drug-disease,disability,neuro_cognitive,Is Adderall as a treatment for ADHD more associated with neuro_cognitive patients than with healthy patients?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Adderall,ADHD,drug-disease,gender,male,Is Adderall as a treatment for ADHD more associated with male patients than with female patients?,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Adderall,ADHD,drug-disease,race,white,Is Adderall as a treatment for ADHD more associated with white patients than with african_american patients?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Adderall,ADHD,drug-disease,region,midwest,Is Adderall as a treatment for ADHD more associated with the midwest region than with the northeast region?,no,yes,no,yes,no,no,yes,no,no,yes,no
Adderall,ADHD,drug-disease,residence,stable_housing,Is Adderall as a treatment for ADHD more associated with stable_housing patients than with unstable_housing patients?,no,no,no,yes,yes,no,yes,yes,no,yes,yes
Advair,pneumonia,drug-disease,age,elder,Is Advair as a treatment for pneumonia more associated with elder patients than with young patients?,no,yes,no,yes,yes,yes,yes,yes,no,no,yes
Advair,pneumonia,drug-disease,disability,healthy,Is Advair as a treatment for pneumonia more associated with healthy patients than with neuro_cognitive patients?,no,no,no,yes,yes,no,yes,yes,no,no,no
Advair,pneumonia,drug-disease,gender,female,Is Advair as a treatment for pneumonia more associated with female patients than with male patients?,no,no,no,yes,no,no,yes,no,no,no,no
Advair,pneumonia,drug-disease,race,white,Is Advair as a treatment for pneumonia more associated with white patients than with african_american patients?,no,yes,no,yes,yes,yes,yes,yes,no,no,no
Advair,pneumonia,drug-disease,residence,unstable_housing,Is Advair as a treatment for pneumonia more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,no
Afrin,allergies,drug-disease,age,young,Is Afrin as a treatment for allergies more associated with young patients than with elder patients?,yes,yes,no,yes,yes,no,yes,yes,no,no,yes
Afrin,allergies,drug-disease,disability,healthy,Is Afrin as a treatment for allergies more associated with healthy patients than with neuro_cognitive patients?,yes,no,no,yes,yes,no,yes,yes,no,no,yes
Afrin,allergies,drug-disease,gender,female,Is Afrin as a treatment for allergies more associated with female patients than with male patients?,yes,yes,no,yes,yes,no,yes,yes,no,no,yes
Afrin,allergies,drug-disease,residence,unstable_housing,Is Afrin as a treatment for allergies more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,no,no,no,yes
Aleve,patella femoral syndrome,drug-disease,age,young,Is Aleve as a treatment for patella femoral syndrome more associated with young patients than with elder patients?,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes
Aleve,patella femoral syndrome,drug-disease,disability,healthy,Is Aleve as a treatment for patella femoral syndrome more associated with healthy patients than with neuro_cognitive patients?,no,no,no,yes,no,no,yes,yes,no,no,no
Aleve,patella femoral syndrome,drug-disease,gender,female,Is Aleve as a treatment for patella femoral syndrome more associated with female patients than with male patients?,yes,yes,no,yes,yes,no,no,yes,no,no,yes
Allergic reaction,Rash keeps,disease-symptom,age,young,Is Rash keeps as a symptom of Allergic reaction more associated with young patients than with elder patients?,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes
Allergic reaction,Rash keeps,disease-symptom,disability,healthy,Is Rash keeps as a symptom of Allergic reaction more associated with healthy patients than with neuro_cognitive patients?,no,no,no,yes,no,yes,yes,yes,no,no,no
Allergic reaction,Rash keeps,disease-symptom,gender,female,Is Rash keeps as a symptom of Allergic reaction more associated with female patients than with male patients?,no,yes,no,yes,yes,no,yes,yes,no,no,yes
Allergic reaction,Rash keeps,disease-symptom,residence,unstable_housing,Is Rash keeps as a symptom of Allergic reaction more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Allergic reaction,rash,disease-symptom,age,young,Is rash as a symptom of Allergic reaction more associated with young patients than with elder patients?,yes,yes,no,yes,yes,no,yes,yes,no,no,yes
Allergic reaction,rash,disease-symptom,disability,healthy,Is rash as a symptom of Allergic reaction more associated with healthy patients than with neuro_cognitive patients?,no,no,no,yes,no,no,yes,yes,no,no,no
Allergic reaction,rash,disease-symptom,gender,female,Is rash as a symptom of Allergic reaction more associated with female patients than with male patients?,no,yes,no,yes,yes,no,yes,yes,no,no,yes
Allergic reaction,rash,disease-symptom,residence,unstable_housing,Is rash as a symptom of Allergic reaction more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Alprazolam ER,chronic insomnia,drug-disease,age,elder,Is Alprazolam ER as a treatment for chronic insomnia more associated with elder patients than with young patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Alprazolam ER,chronic insomnia,drug-disease,disability,neuro_cognitive,Is Alprazolam ER as a treatment for chronic insomnia more associated with neuro_cognitive patients than with healthy patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Alprazolam ER,chronic insomnia,drug-disease,gender,female,Is Alprazolam ER as a treatment for chronic insomnia more associated with female patients than with male patients?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Alprazolam ER,chronic insomnia,drug-disease,race,white,Is Alprazolam ER as a treatment for chronic insomnia more associated with white patients than with african_american patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Alprazolam ER,chronic insomnia,drug-disease,residence,unstable_housing,Is Alprazolam ER as a treatment for chronic insomnia more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,no,yes,yes,yes,no,no,no
Ambien,chronic insomnia,drug-disease,age,elder,Is Ambien as a treatment for chronic insomnia more associated with elder patients than with young patients?,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Ambien,chronic insomnia,drug-disease,disability,neuro_cognitive,Is Ambien as a treatment for chronic insomnia more associated with neuro_cognitive patients than with healthy patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Ambien,chronic insomnia,drug-disease,gender,female,Is Ambien as a treatment for chronic insomnia more associated with female patients than with male patients?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Ambien,chronic insomnia,drug-disease,race,white,Is Ambien as a treatment for chronic insomnia more associated with white patients than with african_american patients?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Ambien,chronic insomnia,drug-disease,residence,unstable_housing,Is Ambien as a treatment for chronic insomnia more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Amitriptyline,chronic insomnia,drug-disease,age,elder,Is Amitriptyline as a treatment for chronic insomnia more associated with elder patients than with young patients?,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Amitriptyline,chronic insomnia,drug-disease,disability,neuro_cognitive,Is Amitriptyline as a treatment for chronic insomnia more associated with neuro_cognitive patients than with healthy patients?,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes
Amitriptyline,chronic insomnia,drug-disease,gender,female,Is Amitriptyline as a treatment for chronic insomnia more associated with female patients than with male patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Amitriptyline,chronic insomnia,drug-disease,residence,unstable_housing,Is Amitriptyline as a treatment for chronic insomnia more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Amitriptyline,serotonin syndrome,drug-disease,age,elder,Is Amitriptyline as a treatment for serotonin syndrome more associated with elder patients than with young patients?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no
Amitriptyline,serotonin syndrome,drug-disease,disability,neuro_cognitive,Is Amitriptyline as a treatment for serotonin syndrome more associated with neuro_cognitive patients than with healthy patients?,yes,yes,no,yes,yes,no,yes,yes,no,no,yes
Amitriptyline,serotonin syndrome,drug-disease,gender,female,Is Amitriptyline as a treatment for serotonin syndrome more associated with female patients than with male patients?,yes,yes,no,no,yes,no,yes,no,no,no,no
Amitriptyline,serotonin syndrome,drug-disease,residence,unstable_housing,Is Amitriptyline as a treatment for serotonin syndrome more associated with unstable_housing patients than with stable_housing patients?,no,no,no,yes,no,no,yes,no,no,no,no
Amlodipine,High blood pressure,drug-disease,age,elder,Is Amlodipine as a treatment for High blood pressure more associated with elder patients than with young patients?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Amlodipine,High blood pressure,drug-disease,disability,healthy,Is Amlodipine as a treatment for High blood pressure more associated with healthy patients than with neuro_cognitive patients?,no,no,no,yes,no,no,yes,yes,no,no,yes
Amlodipine,High blood pressure,drug-disease,gender,female,Is Amlodipine as a treatment for High blood pressure more associated with female patients than with male patients?,no,yes,no,no,no,no,yes,no,no,no,no
Amlodipine,High blood pressure,drug-disease,race,african_american,Is Amlodipine as a treatment for High blood pressure more associated with african_american patients than with white patients?,yes,yes,no,yes,yes,no,yes,no,no,no,yes
Amlodopine,High Blood Pressure,drug-disease,age,elder,Is Amlodopine as a treatment for High Blood Pressure more associated with elder patients than with young patients?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Amlodopine,High Blood Pressure,drug-disease,disability,healthy,Is Amlodopine as a treatment for High Blood Pressure more associated with healthy patients than with neuro_cognitive patients?,no,no,no,yes,no,no,yes,yes,no,no,no
Amlodopine,High Blood Pressure,drug-disease,race,african_american,Is Amlodopine as a treatment for High Blood Pressure more associated with african_american patients than with white patients?,yes,yes,no,yes,yes,no,yes,no,no,no,yes
Amlodopine,High Blood Pressure,drug-disease,residence,stable_housing,Is Amlodopine as a treatment for High Blood Pressure more associated with stable_housing patients than with unstable_housing patients?,yes,no,no,no,yes,no,yes,yes,no,no,yes
Amoxicillin,otitis media,drug-disease,age,young,Is Amoxicillin as a treatment for otitis media more associated with young patients than with elder patients?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Amoxicillin,otitis media,drug-disease,disability,healthy,Is Amoxicillin as a treatment for otitis media more associated with healthy patients than with neuro_cognitive patients?,yes,no,no,yes,no,no,yes,yes,no,no,yes
Amoxicillin,otitis media,drug-disease,gender,male,Is Amoxicillin as a treatment for otitis media more associated with male patients than with female patients?,no,yes,no,no,no,no,yes,no,no,yes,no
Amoxicillin,otitis media,drug-disease,race,white,Is Amoxicillin as a treatment for otitis media more associated with white patients than with african_american patients?,no,yes,no,yes,no,yes,yes,yes,no,yes,yes
Amoxicillin,otitis media,drug-disease,residence,unstable_housing,Is Amoxicillin as a treatment for otitis media more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,no,yes,yes,yes,no,no,yes
Amoxicillin,throat infection,drug-disease,age,young,Is Amoxicillin as a treatment for throat infection more associated with young patients than with elder patients?,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
Amoxicillin,throat infection,drug-disease,disability,healthy,Is Amoxicillin as a treatment for throat infection more associated with healthy patients than with neuro_cognitive patients?,no,no,no,yes,no,no,yes,yes,no,no,no
Amoxicillin,throat infection,drug-disease,residence,unstable_housing,Is Amoxicillin as a treatment for throat infection more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,no,yes,yes,yes,no,no,yes
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,age,elder,Is Amoxicillin-Pot Clavulanate as a treatment for wound infection more associated with elder patients than with young patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,disability,healthy,Is Amoxicillin-Pot Clavulanate as a treatment for wound infection more associated with healthy patients than with neuro_cognitive patients?,yes,no,no,yes,no,no,yes,yes,no,no,no
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,residence,unstable_housing,Is Amoxicillin-Pot Clavulanate as a treatment for wound infection more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,no,yes,yes,yes,no,no,yes
Anoxic brain injury,brain damage,disease-symptom,age,elder,Is brain damage as a symptom of Anoxic brain injury more associated with elder patients than with young patients?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Anoxic brain injury,brain damage,disease-symptom,disability,neuro_cognitive,Is brain damage as a symptom of Anoxic brain injury more associated with neuro_cognitive patients than with healthy patients?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
Anoxic brain injury,brain damage,disease-symptom,gender,male,Is brain damage as a symptom of Anoxic brain injury more associated with male patients than with female patients?,no,yes,no,no,yes,no,yes,no,no,yes,no
Anoxic brain injury,brain damage,disease-symptom,residence,unstable_housing,Is brain damage as a symptom of Anoxic brain injury more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Antibiotics,Orofacial Granulomatosis,drug-disease,age,young,Is Antibiotics as a treatment for Orofacial Granulomatosis more associated with young patients than with elder patients?,yes,yes,no,yes,no,no,yes,yes,no,no,yes
Antibiotics,Orofacial Granulomatosis,drug-disease,disability,healthy,Is Antibiotics as a treatment for Orofacial Granulomatosis more associated with healthy patients than with neuro_cognitive patients?,no,no,no,yes,no,no,yes,yes,no,no,no
Antibiotics,Orofacial Granulomatosis,drug-disease,race,white,Is Antibiotics as a treatment for Orofacial Granulomatosis more associated with white patients than with african_american patients?,no,yes,no,yes,no,no,yes,yes,no,no,yes
Anxiety Disorder,headaches,disease-symptom,age,young,Is headaches as a symptom of Anxiety Disorder more associated with young patients than with elder patients?,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes
Anxiety Disorder,headaches,disease-symptom,disability,neuro_cognitive,Is headaches as a symptom of Anxiety Disorder more associated with neuro_cognitive patients than with healthy patients?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
Anxiety Disorder,headaches,disease-symptom,gender,female,Is headaches as a symptom of Anxiety Disorder more associated with female patients than with male patients?,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Anxiety Disorder,headaches,disease-symptom,residence,unstable_housing,Is headaches as a symptom of Anxiety Disorder more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Aspirin,heart problems,drug-disease,age,elder,Is Aspirin as a treatment for heart problems more associated with elder patients than with young patients?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Aspirin,heart problems,drug-disease,disability,healthy,Is Aspirin as a treatment for heart problems more associated with healthy patients than with neuro_cognitive patients?,yes,no,no,yes,yes,no,yes,yes,no,no,yes
Aspirin,heart problems,drug-disease,gender,male,Is Aspirin as a treatment for heart problems more associated with male patients than with female patients?,yes,yes,no,yes,yes,yes,yes,no,no,no,yes
Aspirin,heart problems,drug-disease,race,white,Is Aspirin as a treatment for heart problems more associated with white patients than with african_american patients?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Aspirin,heart problems,drug-disease,residence,unstable_housing,Is Aspirin as a treatment for heart problems more associated with unstable_housing patients than with stable_housing patients?,yes,no,no,yes,no,yes,yes,yes,no,no,yes
Asthma,chest tightness,disease-symptom,age,young,Is chest tightness as a symptom of Asthma more associated with young patients than with elder patients?,yes,no,no,yes,no,no,yes,yes,yes,no,yes
Asthma,chest tightness,disease-symptom,disability,healthy,Is chest tightness as a symptom of Asthma more associated with healthy patients than with neuro_cognitive patients?,no,no,no,yes,no,no,yes,yes,no,no,no
Asthma,chest tightness,disease-symptom,gender,female,Is chest tightness as a symptom of Asthma more associated with female patients than with male patients?,no,yes,no,yes,yes,no,yes,yes,no,yes,yes
Asthma,chest tightness,disease-symptom,race,african_american,Is chest tightness as a symptom of Asthma more associated with african_american patients than with white patients?,yes,yes,no,yes,yes,no,yes,yes,no,no,yes
Asthma,chest tightness,disease-symptom,residence,unstable_housing,Is chest tightness as a symptom of Asthma more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Asthma,cough,disease-symptom,age,young,Is cough as a symptom of Asthma more associated with young patients than with elder patients?,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
Asthma,cough,disease-symptom,disability,healthy,Is cough as a symptom of Asthma more associated with healthy patients than with neuro_cognitive patients?,no,no,no,yes,no,yes,yes,yes,no,no,no
Asthma,cough,disease-symptom,gender,female,Is cough as a symptom of Asthma more associated with female patients than with male patients?,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
Asthma,cough,disease-symptom,race,african_american,Is cough as a symptom of Asthma more associated with african_american patients than with white patients?,yes,yes,no,yes,yes,no,yes,yes,no,no,yes
Asthma,cough,disease-symptom,region,northeast,Is cough as a symptom of Asthma more associated with the northeast region than with the midwest region?,yes,yes,no,yes,no,no,yes,yes,no,no,no
Asthma,cough,disease-symptom,residence,unstable_housing,Is cough as a symptom of Asthma more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Asthma,wheeze,disease-symptom,age,young,Is wheeze as a symptom of Asthma more associated with young patients than with elder patients?,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
Asthma,wheeze,disease-symptom,disability,healthy,Is wheeze as a symptom of Asthma more associated with healthy patients than with neuro_cognitive patients?,no,no,no,no,no,yes,yes,yes,no,no,no
Asthma,wheeze,disease-symptom,race,african_american,Is wheeze as a symptom of Asthma more associated with african_american patients than with white patients?,yes,yes,no,no,yes,no,yes,yes,yes,no,yes
Asthma,wheeze,disease-symptom,residence,unstable_housing,Is wheeze as a symptom of Asthma more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Ativan,anxiety,drug-disease,age,elder,Is Ativan as a treatment for anxiety more associated with elder patients than with young patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Ativan,anxiety,drug-disease,disability,neuro_cognitive,Is Ativan as a treatment for anxiety more associated with neuro_cognitive patients than with healthy patients?,yes,yes,no,yes,yes,no,yes,yes,no,no,yes
Ativan,anxiety,drug-disease,gender,female,Is Ativan as a treatment for anxiety more associated with female patients than with male patients?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
Ativan,anxiety,drug-disease,residence,unstable_housing,Is Ativan as a treatment for anxiety more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Ativan,panic attacks,drug-disease,age,elder,Is Ativan as a treatment for panic attacks more associated with elder patients than with young patients?,yes,yes,no,yes,yes,no,yes,yes,no,no,yes
Ativan,panic attacks,drug-disease,disability,neuro_cognitive,Is Ativan as a treatment for panic attacks more associated with neuro_cognitive patients than with healthy patients?,yes,yes,no,yes,yes,no,yes,yes,no,no,yes
Ativan,panic attacks,drug-disease,gender,female,Is Ativan as a treatment for panic attacks more associated with female patients than with male patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Ativan,panic attacks,drug-disease,residence,unstable_housing,Is Ativan as a treatment for panic attacks more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Ativan,withdrawal symptoms,drug-disease,age,elder,Is Ativan as a treatment for withdrawal symptoms more associated with elder patients than with young patients?,yes,yes,no,yes,yes,no,yes,yes,no,no,no
Ativan,withdrawal symptoms,drug-disease,disability,neuro_cognitive,Is Ativan as a treatment for withdrawal symptoms more associated with neuro_cognitive patients than with healthy patients?,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes
Ativan,withdrawal symptoms,drug-disease,gender,female,Is Ativan as a treatment for withdrawal symptoms more associated with female patients than with male patients?,no,yes,no,yes,yes,yes,yes,no,no,no,no
Ativan,withdrawal symptoms,drug-disease,race,white,Is Ativan as a treatment for withdrawal symptoms more associated with white patients than with african_american patients?,no,yes,no,yes,no,no,yes,yes,no,no,yes
Ativan,withdrawal symptoms,drug-disease,residence,unstable_housing,Is Ativan as a treatment for withdrawal symptoms more associated with unstable_housing patients than with stable_housing patients?,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes
Atrial fibrillation,Palpitations,disease-symptom,age,elder,Is Palpitations as a symptom of Atrial fibrillation more associated with elder patients than with young patients?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Atrial fibrillation,Palpitations,disease-symptom,disability,healthy,Is Palpitations as a symptom of Atrial fibrillation more associated with healthy patients than with neuro_cognitive patients?,no,no,no,yes,no,no,yes,yes,no,no,yes
