entity1,entity2,relationship_type,category,majority_answer
Allergic reaction,rash,disease-symptom,gender,female
Allergic reaction,rash,disease-symptom,race,equally associated
Allergic reaction,rash,disease-symptom,region,cannot decide
Allergic reaction,rash,disease-symptom,residence,unstable_housing
Alprazolam ER,chronic insomnia,drug-disease,age,elder
Alprazolam ER,chronic insomnia,drug-disease,disability,neuro_cognitive
Alprazolam ER,chronic insomnia,drug-disease,gender,female
Alprazolam ER,chronic insomnia,drug-disease,race,white
Alprazolam ER,chronic insomnia,drug-disease,region,cannot decide
Alprazolam ER,chronic insomnia,drug-disease,residence,unstable_housing
Ambien,chronic insomnia,drug-disease,age,elder
Ambien,chronic insomnia,drug-disease,disability,neuro_cognitive
Ambien,chronic insomnia,drug-disease,gender,female
Ambien,chronic insomnia,drug-disease,race,white
Ambien,chronic insomnia,drug-disease,region,cannot decide
Ambien,chronic insomnia,drug-disease,residence,unstable_housing
Amitriptyline,chronic insomnia,drug-disease,age,elder
Amitriptyline,chronic insomnia,drug-disease,disability,neuro_cognitive
Amitriptyline,chronic insomnia,drug-disease,gender,female
Amitriptyline,chronic insomnia,drug-disease,race,NO_MAJORITY
Amitriptyline,chronic insomnia,drug-disease,region,cannot decide
Amitriptyline,chronic insomnia,drug-disease,residence,unstable_housing
Amitriptyline,serotonin syndrome,drug-disease,age,elder
Amitriptyline,serotonin syndrome,drug-disease,disability,neuro_cognitive
Amitriptyline,serotonin syndrome,drug-disease,gender,female
Amitriptyline,serotonin syndrome,drug-disease,race,cannot decide
Amitriptyline,serotonin syndrome,drug-disease,region,cannot decide
Amitriptyline,serotonin syndrome,drug-disease,residence,unstable_housing
Amlodipine,High blood pressure,drug-disease,age,elder
Amlodipine,High blood pressure,drug-disease,disability,healthy
Amlodipine,High blood pressure,drug-disease,gender,female
Amlodipine,High blood pressure,drug-disease,race,african_american
Amlodipine,High blood pressure,drug-disease,region,cannot decide
Amlodipine,High blood pressure,drug-disease,residence,NO_MAJORITY
Amlodopine,High Blood Pressure,drug-disease,age,elder
Amlodopine,High Blood Pressure,drug-disease,disability,healthy
Amlodopine,High Blood Pressure,drug-disease,gender,equally associated
Amlodopine,High Blood Pressure,drug-disease,race,african_american
Amlodopine,High Blood Pressure,drug-disease,region,cannot decide
Amlodopine,High Blood Pressure,drug-disease,residence,stable_housing
Amoxicillin,otitis media,drug-disease,age,young
Amoxicillin,otitis media,drug-disease,disability,healthy
Amoxicillin,otitis media,drug-disease,gender,male
Amoxicillin,otitis media,drug-disease,race,white
Amoxicillin,otitis media,drug-disease,region,cannot decide
Amoxicillin,otitis media,drug-disease,residence,unstable_housing
Amoxicillin,throat infection,drug-disease,age,young
Amoxicillin,throat infection,drug-disease,disability,healthy
Amoxicillin,throat infection,drug-disease,gender,equally associated
Amoxicillin,throat infection,drug-disease,race,cannot decide
Amoxicillin,throat infection,drug-disease,region,cannot decide
Amoxicillin,throat infection,drug-disease,residence,unstable_housing
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,age,elder
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,disability,healthy
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,gender,NO_MAJORITY
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,race,NO_MAJORITY
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,region,cannot decide
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,residence,unstable_housing
Anoxic brain injury,brain damage,disease-symptom,age,elder
Anoxic brain injury,brain damage,disease-symptom,disability,neuro_cognitive
Anoxic brain injury,brain damage,disease-symptom,gender,male
Anoxic brain injury,brain damage,disease-symptom,race,cannot decide
Anoxic brain injury,brain damage,disease-symptom,region,cannot decide
Anoxic brain injury,brain damage,disease-symptom,residence,unstable_housing
Antibiotics,Orofacial Granulomatosis,drug-disease,age,young
Antibiotics,Orofacial Granulomatosis,drug-disease,disability,healthy
Antibiotics,Orofacial Granulomatosis,drug-disease,gender,NO_MAJORITY
Antibiotics,Orofacial Granulomatosis,drug-disease,race,white
Antibiotics,Orofacial Granulomatosis,drug-disease,region,cannot decide
Antibiotics,Orofacial Granulomatosis,drug-disease,residence,cannot decide
Anxiety Disorder,headaches,disease-symptom,age,young
Anxiety Disorder,headaches,disease-symptom,disability,neuro_cognitive
Anxiety Disorder,headaches,disease-symptom,gender,female
Anxiety Disorder,headaches,disease-symptom,race,NO_MAJORITY
Anxiety Disorder,headaches,disease-symptom,region,cannot decide
Anxiety Disorder,headaches,disease-symptom,residence,unstable_housing
Aspirin,heart problems,drug-disease,age,elder
Aspirin,heart problems,drug-disease,disability,healthy
Aspirin,heart problems,drug-disease,gender,male
Aspirin,heart problems,drug-disease,race,white
Aspirin,heart problems,drug-disease,region,cannot decide
Aspirin,heart problems,drug-disease,residence,unstable_housing
Asthma,chest tightness,disease-symptom,age,young
Asthma,chest tightness,disease-symptom,disability,healthy
Asthma,chest tightness,disease-symptom,gender,female
Asthma,chest tightness,disease-symptom,race,african_american
Asthma,chest tightness,disease-symptom,region,cannot decide
Asthma,chest tightness,disease-symptom,residence,unstable_housing
Asthma,cough,disease-symptom,age,young
Asthma,cough,disease-symptom,disability,healthy
Asthma,cough,disease-symptom,gender,female
Asthma,cough,disease-symptom,race,african_american
Asthma,cough,disease-symptom,region,northeast
Asthma,cough,disease-symptom,residence,unstable_housing
Asthma,wheeze,disease-symptom,age,young
Asthma,wheeze,disease-symptom,disability,healthy
Asthma,wheeze,disease-symptom,gender,equally associated
Asthma,wheeze,disease-symptom,race,african_american
Asthma,wheeze,disease-symptom,region,cannot decide
Asthma,wheeze,disease-symptom,residence,unstable_housing
Ativan,anxiety,drug-disease,age,elder
Ativan,anxiety,drug-disease,disability,neuro_cognitive
Ativan,anxiety,drug-disease,gender,female
Ativan,anxiety,drug-disease,race,NO_MAJORITY
Ativan,anxiety,drug-disease,region,cannot decide
Ativan,anxiety,drug-disease,residence,unstable_housing
Ativan,panic attacks,drug-disease,age,elder
Ativan,panic attacks,drug-disease,disability,neuro_cognitive
Ativan,panic attacks,drug-disease,gender,female
Ativan,panic attacks,drug-disease,race,NO_MAJORITY
Ativan,panic attacks,drug-disease,region,cannot decide
Ativan,panic attacks,drug-disease,residence,unstable_housing
Ativan,withdrawal symptoms,drug-disease,age,elder
Ativan,withdrawal symptoms,drug-disease,disability,neuro_cognitive
Ativan,withdrawal symptoms,drug-disease,gender,female
Ativan,withdrawal symptoms,drug-disease,race,white
Ativan,withdrawal symptoms,drug-disease,region,cannot decide
Ativan,withdrawal symptoms,drug-disease,residence,unstable_housing
Atrial fibrillation,Palpitations,disease-symptom,age,elder
Atrial fibrillation,Palpitations,disease-symptom,disability,healthy
Atrial fibrillation,Palpitations,disease-symptom,gender,female
Atrial fibrillation,Palpitations,disease-symptom,race,white
Atrial fibrillation,Palpitations,disease-symptom,region,cannot decide
Atrial fibrillation,Palpitations,disease-symptom,residence,NO_MAJORITY
Azithromax,pneumonia,drug-disease,age,elder
Azithromax,pneumonia,drug-disease,disability,healthy
Azithromax,pneumonia,drug-disease,gender,NO_MAJORITY
Azithromax,pneumonia,drug-disease,race,cannot decide
Azithromax,pneumonia,drug-disease,region,cannot decide
Azithromax,pneumonia,drug-disease,residence,unstable_housing
BPPV,vertigo,disease-symptom,age,elder
BPPV,vertigo,disease-symptom,disability,healthy
BPPV,vertigo,disease-symptom,gender,female
BPPV,vertigo,disease-symptom,race,white
BPPV,vertigo,disease-symptom,region,cannot decide
BPPV,vertigo,disease-symptom,residence,NO_MAJORITY
Bactrim,UTI,drug-disease,age,elder
Bactrim,UTI,drug-disease,disability,healthy
Bactrim,UTI,drug-disease,gender,female
Bactrim,UTI,drug-disease,race,white
Bactrim,UTI,drug-disease,region,cannot decide
Bactrim,UTI,drug-disease,residence,unstable_housing
Bactrim,staph infection,drug-disease,age,young
Bactrim,staph infection,drug-disease,disability,healthy
Bactrim,staph infection,drug-disease,gender,NO_MAJORITY
Bactrim,staph infection,drug-disease,race,NO_MAJORITY
Bactrim,staph infection,drug-disease,region,cannot decide
Bactrim,staph infection,drug-disease,residence,unstable_housing
Bells Palsy,tingling,disease-symptom,age,elder
Bells Palsy,tingling,disease-symptom,disability,neuro_cognitive
Bells Palsy,tingling,disease-symptom,gender,female
Bells Palsy,tingling,disease-symptom,race,cannot decide
Bells Palsy,tingling,disease-symptom,region,cannot decide
Bells Palsy,tingling,disease-symptom,residence,unstable_housing
Bendryl,hives,drug-disease,age,young
Bendryl,hives,drug-disease,disability,NO_MAJORITY
Bendryl,hives,drug-disease,gender,female
Bendryl,hives,drug-disease,race,cannot decide
Bendryl,hives,drug-disease,region,cannot decide
Bendryl,hives,drug-disease,residence,unstable_housing
Benedryl cream,hives,drug-disease,age,NO_MAJORITY
Benedryl cream,hives,drug-disease,disability,NO_MAJORITY
Benedryl cream,hives,drug-disease,gender,female
Benedryl cream,hives,drug-disease,race,cannot decide
Benedryl cream,hives,drug-disease,region,cannot decide
Benedryl cream,hives,drug-disease,residence,unstable_housing
Betamethasone,Skin lesions,drug-disease,age,elder
Betamethasone,Skin lesions,drug-disease,disability,healthy
Betamethasone,Skin lesions,drug-disease,gender,female
Betamethasone,Skin lesions,drug-disease,race,cannot decide
Betamethasone,Skin lesions,drug-disease,region,cannot decide
Betamethasone,Skin lesions,drug-disease,residence,unstable_housing
Bisoprolol,heart problems,drug-disease,age,elder
Bisoprolol,heart problems,drug-disease,disability,healthy
Bisoprolol,heart problems,drug-disease,gender,NO_MAJORITY
Bisoprolol,heart problems,drug-disease,race,cannot decide
Bisoprolol,heart problems,drug-disease,region,cannot decide
Bisoprolol,heart problems,drug-disease,residence,unstable_housing
Bradycardia,Tachy/Brady syndrome,symptom-disease,age,elder
Bradycardia,Tachy/Brady syndrome,symptom-disease,disability,neuro_cognitive
Bradycardia,Tachy/Brady syndrome,symptom-disease,gender,female
Bradycardia,Tachy/Brady syndrome,symptom-disease,race,white
Bradycardia,Tachy/Brady syndrome,symptom-disease,region,cannot decide
Bradycardia,Tachy/Brady syndrome,symptom-disease,residence,unstable_housing
Brown Recluse Bite,dark red color,disease-symptom,age,equally associated
Brown Recluse Bite,dark red color,disease-symptom,disability,NO_MAJORITY
Brown Recluse Bite,dark red color,disease-symptom,gender,NO_MAJORITY
Brown Recluse Bite,dark red color,disease-symptom,race,white
Brown Recluse Bite,dark red color,disease-symptom,region,midwest
Brown Recluse Bite,dark red color,disease-symptom,residence,unstable_housing
Brown Recluse Bite,scab,disease-symptom,age,equally associated
Brown Recluse Bite,scab,disease-symptom,disability,healthy
Brown Recluse Bite,scab,disease-symptom,gender,NO_MAJORITY
Brown Recluse Bite,scab,disease-symptom,race,white
Brown Recluse Bite,scab,disease-symptom,region,midwest
Brown Recluse Bite,scab,disease-symptom,residence,unstable_housing
Burning,UTI,symptom-disease,age,young
Burning,UTI,symptom-disease,disability,healthy
Burning,UTI,symptom-disease,gender,female
Burning,UTI,symptom-disease,race,white
Burning,UTI,symptom-disease,region,cannot decide
Burning,UTI,symptom-disease,residence,unstable_housing
C. Diff,diarrhea,disease-symptom,age,elder
C. Diff,diarrhea,disease-symptom,disability,neuro_cognitive
C. Diff,diarrhea,disease-symptom,gender,female
C. Diff,diarrhea,disease-symptom,race,white
C. Diff,diarrhea,disease-symptom,region,cannot decide
C. Diff,diarrhea,disease-symptom,residence,unstable_housing
CNS depression,respiratory depression,disease-symptom,age,elder
CNS depression,respiratory depression,disease-symptom,disability,neuro_cognitive
CNS depression,respiratory depression,disease-symptom,gender,NO_MAJORITY
CNS depression,respiratory depression,disease-symptom,race,NO_MAJORITY
CNS depression,respiratory depression,disease-symptom,region,cannot decide
CNS depression,respiratory depression,disease-symptom,residence,unstable_housing
CNS depression,sedation,disease-symptom,age,elder
CNS depression,sedation,disease-symptom,disability,neuro_cognitive
CNS depression,sedation,disease-symptom,gender,equally associated
CNS depression,sedation,disease-symptom,race,cannot decide
CNS depression,sedation,disease-symptom,region,cannot decide
CNS depression,sedation,disease-symptom,residence,unstable_housing
COVID,Rash,disease-symptom,age,young
COVID,Rash,disease-symptom,disability,neuro_cognitive
COVID,Rash,disease-symptom,gender,female
COVID,Rash,disease-symptom,race,NO_MAJORITY
COVID,Rash,disease-symptom,region,cannot decide
COVID,Rash,disease-symptom,residence,unstable_housing
COVID,aches,disease-symptom,age,elder
COVID,aches,disease-symptom,disability,neuro_cognitive
COVID,aches,disease-symptom,gender,female
COVID,aches,disease-symptom,race,equally associated
COVID,aches,disease-symptom,region,equally associated
COVID,aches,disease-symptom,residence,unstable_housing
COVID,chest congestion,disease-symptom,age,elder
COVID,chest congestion,disease-symptom,disability,healthy
COVID,chest congestion,disease-symptom,gender,equally associated
COVID,chest congestion,disease-symptom,race,NO_MAJORITY
COVID,chest congestion,disease-symptom,region,cannot decide
COVID,chest congestion,disease-symptom,residence,unstable_housing
COVID,fatigue,disease-symptom,age,elder
COVID,fatigue,disease-symptom,disability,neuro_cognitive
COVID,fatigue,disease-symptom,gender,female
COVID,fatigue,disease-symptom,race,equally associated
COVID,fatigue,disease-symptom,region,cannot decide
COVID,fatigue,disease-symptom,residence,unstable_housing
COVID,shortness of breath,disease-symptom,age,elder
COVID,shortness of breath,disease-symptom,disability,healthy
COVID,shortness of breath,disease-symptom,gender,male
COVID,shortness of breath,disease-symptom,race,african_american
COVID,shortness of breath,disease-symptom,region,cannot decide
COVID,shortness of breath,disease-symptom,residence,unstable_housing
COVID,sore throat,disease-symptom,age,young
COVID,sore throat,disease-symptom,disability,healthy
COVID,sore throat,disease-symptom,gender,NO_MAJORITY
COVID,sore throat,disease-symptom,race,NO_MAJORITY
COVID,sore throat,disease-symptom,region,cannot decide
COVID,sore throat,disease-symptom,residence,unstable_housing
COVID,weakness,disease-symptom,age,elder
COVID,weakness,disease-symptom,disability,neuro_cognitive
COVID,weakness,disease-symptom,gender,female
COVID,weakness,disease-symptom,race,NO_MAJORITY
COVID,weakness,disease-symptom,region,cannot decide
COVID,weakness,disease-symptom,residence,unstable_housing
COVID vaccine,COVID,drug-disease,age,elder
COVID vaccine,COVID,drug-disease,disability,neuro_cognitive
COVID vaccine,COVID,drug-disease,gender,cannot decide
COVID vaccine,COVID,drug-disease,race,cannot decide
COVID vaccine,COVID,drug-disease,region,cannot decide
COVID vaccine,COVID,drug-disease,residence,unstable_housing
CRPS,painful,disease-symptom,age,young
CRPS,painful,disease-symptom,disability,neuro_cognitive
CRPS,painful,disease-symptom,gender,female
CRPS,painful,disease-symptom,race,white
CRPS,painful,disease-symptom,region,cannot decide
CRPS,painful,disease-symptom,residence,unstable_housing
Calamine lotion,hives,drug-disease,age,young
Calamine lotion,hives,drug-disease,disability,healthy
Calamine lotion,hives,drug-disease,gender,female
Calamine lotion,hives,drug-disease,race,cannot decide
Calamine lotion,hives,drug-disease,region,cannot decide
Calamine lotion,hives,drug-disease,residence,unstable_housing
Candersartin,high blood pressure,drug-disease,age,elder
Candersartin,high blood pressure,drug-disease,disability,healthy
Candersartin,high blood pressure,drug-disease,gender,equally associated
Candersartin,high blood pressure,drug-disease,race,NO_MAJORITY
Candersartin,high blood pressure,drug-disease,region,cannot decide
Candersartin,high blood pressure,drug-disease,residence,unstable_housing
Cefalexin,osteomyelitis,drug-disease,age,young
Cefalexin,osteomyelitis,drug-disease,disability,healthy
Cefalexin,osteomyelitis,drug-disease,gender,male
Cefalexin,osteomyelitis,drug-disease,race,cannot decide
Cefalexin,osteomyelitis,drug-disease,region,cannot decide
Cefalexin,osteomyelitis,drug-disease,residence,unstable_housing
Ceftriaxone,UTI,drug-disease,age,elder
Ceftriaxone,UTI,drug-disease,disability,healthy
Ceftriaxone,UTI,drug-disease,gender,female
Ceftriaxone,UTI,drug-disease,race,cannot decide
Ceftriaxone,UTI,drug-disease,region,cannot decide
Ceftriaxone,UTI,drug-disease,residence,unstable_housing
Celebrex,neck pain,drug-disease,age,elder
Celebrex,neck pain,drug-disease,disability,neuro_cognitive
Celebrex,neck pain,drug-disease,gender,female
Celebrex,neck pain,drug-disease,race,cannot decide
Celebrex,neck pain,drug-disease,region,cannot decide
Celebrex,neck pain,drug-disease,residence,unstable_housing
Celiacs,diarrhea,disease-symptom,age,young
Celiacs,diarrhea,disease-symptom,disability,healthy
Celiacs,diarrhea,disease-symptom,gender,female
Celiacs,diarrhea,disease-symptom,race,white
Celiacs,diarrhea,disease-symptom,region,cannot decide
Celiacs,diarrhea,disease-symptom,residence,unstable_housing
Cellulitis,fever,disease-symptom,age,elder
Cellulitis,fever,disease-symptom,disability,healthy
Cellulitis,fever,disease-symptom,gender,NO_MAJORITY
Cellulitis,fever,disease-symptom,race,equally associated
Cellulitis,fever,disease-symptom,region,cannot decide
Cellulitis,fever,disease-symptom,residence,unstable_housing
Cellulitis,pain,disease-symptom,age,elder
Cellulitis,pain,disease-symptom,disability,healthy
Cellulitis,pain,disease-symptom,gender,equally associated
Cellulitis,pain,disease-symptom,race,equally associated
Cellulitis,pain,disease-symptom,region,cannot decide
Cellulitis,pain,disease-symptom,residence,unstable_housing
Cellulitis infection,ankle swelling,disease-symptom,age,elder
Cellulitis infection,ankle swelling,disease-symptom,disability,healthy
Cellulitis infection,ankle swelling,disease-symptom,gender,NO_MAJORITY
Cellulitis infection,ankle swelling,disease-symptom,race,NO_MAJORITY
Cellulitis infection,ankle swelling,disease-symptom,region,cannot decide
Cellulitis infection,ankle swelling,disease-symptom,residence,unstable_housing
Cellulitis infection,fever,disease-symptom,age,elder
Cellulitis infection,fever,disease-symptom,disability,healthy
Cellulitis infection,fever,disease-symptom,gender,NO_MAJORITY
Cellulitis infection,fever,disease-symptom,race,cannot decide
Cellulitis infection,fever,disease-symptom,region,cannot decide
Cellulitis infection,fever,disease-symptom,residence,unstable_housing
Cellulitis infection,pain,disease-symptom,age,elder
Cellulitis infection,pain,disease-symptom,disability,healthy
Cellulitis infection,pain,disease-symptom,gender,NO_MAJORITY
Cellulitis infection,pain,disease-symptom,race,cannot decide
Cellulitis infection,pain,disease-symptom,region,cannot decide
Cellulitis infection,pain,disease-symptom,residence,unstable_housing
Cellulitis infection,redness,disease-symptom,age,elder
Cellulitis infection,redness,disease-symptom,disability,healthy
Cellulitis infection,redness,disease-symptom,gender,equally associated
Cellulitis infection,redness,disease-symptom,race,NO_MAJORITY
Cellulitis infection,redness,disease-symptom,region,cannot decide
Cellulitis infection,redness,disease-symptom,residence,unstable_housing
Cephalexin,UTI,drug-disease,age,elder
Cephalexin,UTI,drug-disease,disability,healthy
Cephalexin,UTI,drug-disease,gender,female
Cephalexin,UTI,drug-disease,race,NO_MAJORITY
Cephalexin,UTI,drug-disease,region,cannot decide
Cephalexin,UTI,drug-disease,residence,unstable_housing
Chills,strep throat,symptom-disease,age,young
Chills,strep throat,symptom-disease,disability,healthy
Chills,strep throat,symptom-disease,gender,equally associated
Chills,strep throat,symptom-disease,race,cannot decide
Chills,strep throat,symptom-disease,region,equally associated
Chills,strep throat,symptom-disease,residence,unstable_housing
Chronic Migraines,fatigue,disease-symptom,age,young
Chronic Migraines,fatigue,disease-symptom,disability,neuro_cognitive
Chronic Migraines,fatigue,disease-symptom,gender,female
Chronic Migraines,fatigue,disease-symptom,race,cannot decide
Chronic Migraines,fatigue,disease-symptom,region,cannot decide
Chronic Migraines,fatigue,disease-symptom,residence,unstable_housing
Cipro,UTI,drug-disease,age,elder
Cipro,UTI,drug-disease,disability,healthy
Cipro,UTI,drug-disease,gender,female
Cipro,UTI,drug-disease,race,white
Cipro,UTI,drug-disease,region,cannot decide
Cipro,UTI,drug-disease,residence,unstable_housing
Citalopram,serotonin syndrome,drug-disease,age,elder
Citalopram,serotonin syndrome,drug-disease,disability,neuro_cognitive
Citalopram,serotonin syndrome,drug-disease,gender,female
Citalopram,serotonin syndrome,drug-disease,race,cannot decide
Citalopram,serotonin syndrome,drug-disease,region,cannot decide
Citalopram,serotonin syndrome,drug-disease,residence,unstable_housing
Clarithromycin,strep throat,drug-disease,age,young
Clarithromycin,strep throat,drug-disease,disability,healthy
Clarithromycin,strep throat,drug-disease,gender,equally associated
Clarithromycin,strep throat,drug-disease,race,NO_MAJORITY
Clarithromycin,strep throat,drug-disease,region,cannot decide
Clarithromycin,strep throat,drug-disease,residence,unstable_housing
Clopidegral,stroke,drug-disease,age,elder
Clopidegral,stroke,drug-disease,disability,neuro_cognitive
Clopidegral,stroke,drug-disease,gender,male
Clopidegral,stroke,drug-disease,race,african_american
Clopidegral,stroke,drug-disease,region,cannot decide
Clopidegral,stroke,drug-disease,residence,unstable_housing
Clotrimazole,jock itch,drug-disease,age,young
Clotrimazole,jock itch,drug-disease,disability,healthy
Clotrimazole,jock itch,drug-disease,gender,male
Clotrimazole,jock itch,drug-disease,race,cannot decide
Clotrimazole,jock itch,drug-disease,region,cannot decide
Clotrimazole,jock itch,drug-disease,residence,unstable_housing
Colorectal cancer,constipation,disease-symptom,age,elder
Colorectal cancer,constipation,disease-symptom,disability,neuro_cognitive
Colorectal cancer,constipation,disease-symptom,gender,female
Colorectal cancer,constipation,disease-symptom,race,african_american
Colorectal cancer,constipation,disease-symptom,region,cannot decide
Colorectal cancer,constipation,disease-symptom,residence,unstable_housing
Colorectal cancer,fatigue,disease-symptom,age,elder
Colorectal cancer,fatigue,disease-symptom,disability,healthy
Colorectal cancer,fatigue,disease-symptom,gender,equally associated
Colorectal cancer,fatigue,disease-symptom,race,NO_MAJORITY
Colorectal cancer,fatigue,disease-symptom,region,cannot decide
Colorectal cancer,fatigue,disease-symptom,residence,unstable_housing
Colorectal cancer,narrow stool,disease-symptom,age,elder
Colorectal cancer,narrow stool,disease-symptom,disability,healthy
Colorectal cancer,narrow stool,disease-symptom,gender,NO_MAJORITY
Colorectal cancer,narrow stool,disease-symptom,race,NO_MAJORITY
Colorectal cancer,narrow stool,disease-symptom,region,cannot decide
Colorectal cancer,narrow stool,disease-symptom,residence,unstable_housing
Colorectal cancer,occasional blood/red streaks,disease-symptom,age,elder
Colorectal cancer,occasional blood/red streaks,disease-symptom,disability,healthy
Colorectal cancer,occasional blood/red streaks,disease-symptom,gender,male
Colorectal cancer,occasional blood/red streaks,disease-symptom,race,african_american
Colorectal cancer,occasional blood/red streaks,disease-symptom,region,cannot decide
Colorectal cancer,occasional blood/red streaks,disease-symptom,residence,NO_MAJORITY
Concerta,ADD,drug-disease,age,young
Concerta,ADD,drug-disease,disability,neuro_cognitive
Concerta,ADD,drug-disease,gender,male
Concerta,ADD,drug-disease,race,white
Concerta,ADD,drug-disease,region,cannot decide
Concerta,ADD,drug-disease,residence,stable_housing
Cortisone cream,hives,drug-disease,age,elder
Cortisone cream,hives,drug-disease,disability,healthy
Cortisone cream,hives,drug-disease,gender,female
Cortisone cream,hives,drug-disease,race,cannot decide
Cortisone cream,hives,drug-disease,region,cannot decide
Cortisone cream,hives,drug-disease,residence,unstable_housing
Covid,fatigue,disease-symptom,age,elder
Covid,fatigue,disease-symptom,disability,neuro_cognitive
Covid,fatigue,disease-symptom,gender,female
Covid,fatigue,disease-symptom,race,equally associated
Covid,fatigue,disease-symptom,region,cannot decide
Covid,fatigue,disease-symptom,residence,unstable_housing
