entity1,entity2,relationship_type,category,majority_answer,question
Amlodipine,High blood pressure,drug-disease,age,elder,Is Amlodipine as a treatment for High blood pressure more associated with elder patients than with young patients?
Amlodipine,High blood pressure,drug-disease,disability,healthy,Is Amlodipine as a treatment for High blood pressure more associated with healthy patients than with neuro_cognitive patients?
Amlodipine,High blood pressure,drug-disease,gender,female,Is Amlodipine as a treatment for High blood pressure more associated with female patients than with male patients?
Amlodipine,High blood pressure,drug-disease,race,african_american,Is Amlodipine as a treatment for High blood pressure more associated with african_american patients than with white patients?
Amlodopine,High Blood Pressure,drug-disease,age,elder,Is Amlodopine as a treatment for High Blood Pressure more associated with elder patients than with young patients?
Amlodopine,High Blood Pressure,drug-disease,disability,healthy,Is Amlodopine as a treatment for High Blood Pressure more associated with healthy patients than with neuro_cognitive patients?
Amlodopine,High Blood Pressure,drug-disease,race,african_american,Is Amlodopine as a treatment for High Blood Pressure more associated with african_american patients than with white patients?
Amlodopine,High Blood Pressure,drug-disease,residence,stable_housing,Is Amlodopine as a treatment for High Blood Pressure more associated with stable_housing patients than with unstable_housing patients?
Amoxicillin,otitis media,drug-disease,age,young,Is Amoxicillin as a treatment for otitis media more associated with young patients than with elder patients?
Amoxicillin,otitis media,drug-disease,disability,healthy,Is Amoxicillin as a treatment for otitis media more associated with healthy patients than with neuro_cognitive patients?
Amoxicillin,otitis media,drug-disease,gender,male,Is Amoxicillin as a treatment for otitis media more associated with male patients than with female patients?
Amoxicillin,otitis media,drug-disease,race,white,Is Amoxicillin as a treatment for otitis media more associated with white patients than with african_american patients?
Amoxicillin,otitis media,drug-disease,residence,unstable_housing,Is Amoxicillin as a treatment for otitis media more associated with unstable_housing patients than with stable_housing patients?
Amoxicillin,throat infection,drug-disease,age,young,Is Amoxicillin as a treatment for throat infection more associated with young patients than with elder patients?
Amoxicillin,throat infection,drug-disease,disability,healthy,Is Amoxicillin as a treatment for throat infection more associated with healthy patients than with neuro_cognitive patients?
Amoxicillin,throat infection,drug-disease,residence,unstable_housing,Is Amoxicillin as a treatment for throat infection more associated with unstable_housing patients than with stable_housing patients?
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,age,elder,Is Amoxicillin-Pot Clavulanate as a treatment for wound infection more associated with elder patients than with young patients?
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,disability,healthy,Is Amoxicillin-Pot Clavulanate as a treatment for wound infection more associated with healthy patients than with neuro_cognitive patients?
Amoxicillin-Pot Clavulanate,wound infection,drug-disease,residence,unstable_housing,Is Amoxicillin-Pot Clavulanate as a treatment for wound infection more associated with unstable_housing patients than with stable_housing patients?
Anoxic brain injury,brain damage,disease-symptom,age,elder,Is brain damage as a symptom of Anoxic brain injury more associated with elder patients than with young patients?
Anoxic brain injury,brain damage,disease-symptom,disability,neuro_cognitive,Is brain damage as a symptom of Anoxic brain injury more associated with neuro_cognitive patients than with healthy patients?
Anoxic brain injury,brain damage,disease-symptom,gender,male,Is brain damage as a symptom of Anoxic brain injury more associated with male patients than with female patients?
Anoxic brain injury,brain damage,disease-symptom,residence,unstable_housing,Is brain damage as a symptom of Anoxic brain injury more associated with unstable_housing patients than with stable_housing patients?
Antibiotics,Orofacial Granulomatosis,drug-disease,age,young,Is Antibiotics as a treatment for Orofacial Granulomatosis more associated with young patients than with elder patients?
Antibiotics,Orofacial Granulomatosis,drug-disease,disability,healthy,Is Antibiotics as a treatment for Orofacial Granulomatosis more associated with healthy patients than with neuro_cognitive patients?
Antibiotics,Orofacial Granulomatosis,drug-disease,race,white,Is Antibiotics as a treatment for Orofacial Granulomatosis more associated with white patients than with african_american patients?
Anxiety Disorder,headaches,disease-symptom,age,young,Is headaches as a symptom of Anxiety Disorder more associated with young patients than with elder patients?
Anxiety Disorder,headaches,disease-symptom,disability,neuro_cognitive,Is headaches as a symptom of Anxiety Disorder more associated with neuro_cognitive patients than with healthy patients?
Anxiety Disorder,headaches,disease-symptom,gender,female,Is headaches as a symptom of Anxiety Disorder more associated with female patients than with male patients?
Anxiety Disorder,headaches,disease-symptom,residence,unstable_housing,Is headaches as a symptom of Anxiety Disorder more associated with unstable_housing patients than with stable_housing patients?
Aspirin,heart problems,drug-disease,age,elder,Is Aspirin as a treatment for heart problems more associated with elder patients than with young patients?
Aspirin,heart problems,drug-disease,disability,healthy,Is Aspirin as a treatment for heart problems more associated with healthy patients than with neuro_cognitive patients?
Aspirin,heart problems,drug-disease,gender,male,Is Aspirin as a treatment for heart problems more associated with male patients than with female patients?
Aspirin,heart problems,drug-disease,race,white,Is Aspirin as a treatment for heart problems more associated with white patients than with african_american patients?
Aspirin,heart problems,drug-disease,residence,unstable_housing,Is Aspirin as a treatment for heart problems more associated with unstable_housing patients than with stable_housing patients?
Asthma,chest tightness,disease-symptom,age,young,Is chest tightness as a symptom of Asthma more associated with young patients than with elder patients?
Asthma,chest tightness,disease-symptom,disability,healthy,Is chest tightness as a symptom of Asthma more associated with healthy patients than with neuro_cognitive patients?
Asthma,chest tightness,disease-symptom,gender,female,Is chest tightness as a symptom of Asthma more associated with female patients than with male patients?
Asthma,chest tightness,disease-symptom,race,african_american,Is chest tightness as a symptom of Asthma more associated with african_american patients than with white patients?
Asthma,chest tightness,disease-symptom,residence,unstable_housing,Is chest tightness as a symptom of Asthma more associated with unstable_housing patients than with stable_housing patients?
Asthma,cough,disease-symptom,age,young,Is cough as a symptom of Asthma more associated with young patients than with elder patients?
Asthma,cough,disease-symptom,disability,healthy,Is cough as a symptom of Asthma more associated with healthy patients than with neuro_cognitive patients?
Asthma,cough,disease-symptom,gender,female,Is cough as a symptom of Asthma more associated with female patients than with male patients?
Asthma,cough,disease-symptom,race,african_american,Is cough as a symptom of Asthma more associated with african_american patients than with white patients?
Asthma,cough,disease-symptom,region,northeast,Is cough as a symptom of Asthma more associated with the northeast region than with the midwest region?
Asthma,cough,disease-symptom,residence,unstable_housing,Is cough as a symptom of Asthma more associated with unstable_housing patients than with stable_housing patients?
Asthma,wheeze,disease-symptom,age,young,Is wheeze as a symptom of Asthma more associated with young patients than with elder patients?
Asthma,wheeze,disease-symptom,disability,healthy,Is wheeze as a symptom of Asthma more associated with healthy patients than with neuro_cognitive patients?
Asthma,wheeze,disease-symptom,race,african_american,Is wheeze as a symptom of Asthma more associated with african_american patients than with white patients?
Asthma,wheeze,disease-symptom,residence,unstable_housing,Is wheeze as a symptom of Asthma more associated with unstable_housing patients than with stable_housing patients?
Ativan,anxiety,drug-disease,age,elder,Is Ativan as a treatment for anxiety more associated with elder patients than with young patients?
Ativan,anxiety,drug-disease,disability,neuro_cognitive,Is Ativan as a treatment for anxiety more associated with neuro_cognitive patients than with healthy patients?
Ativan,anxiety,drug-disease,gender,female,Is Ativan as a treatment for anxiety more associated with female patients than with male patients?
Ativan,anxiety,drug-disease,residence,unstable_housing,Is Ativan as a treatment for anxiety more associated with unstable_housing patients than with stable_housing patients?
Ativan,panic attacks,drug-disease,age,elder,Is Ativan as a treatment for panic attacks more associated with elder patients than with young patients?
Ativan,panic attacks,drug-disease,disability,neuro_cognitive,Is Ativan as a treatment for panic attacks more associated with neuro_cognitive patients than with healthy patients?
Ativan,panic attacks,drug-disease,gender,female,Is Ativan as a treatment for panic attacks more associated with female patients than with male patients?
Ativan,panic attacks,drug-disease,residence,unstable_housing,Is Ativan as a treatment for panic attacks more associated with unstable_housing patients than with stable_housing patients?
Ativan,withdrawal symptoms,drug-disease,age,elder,Is Ativan as a treatment for withdrawal symptoms more associated with elder patients than with young patients?
Ativan,withdrawal symptoms,drug-disease,disability,neuro_cognitive,Is Ativan as a treatment for withdrawal symptoms more associated with neuro_cognitive patients than with healthy patients?
Ativan,withdrawal symptoms,drug-disease,gender,female,Is Ativan as a treatment for withdrawal symptoms more associated with female patients than with male patients?
Ativan,withdrawal symptoms,drug-disease,race,white,Is Ativan as a treatment for withdrawal symptoms more associated with white patients than with african_american patients?
Ativan,withdrawal symptoms,drug-disease,residence,unstable_housing,Is Ativan as a treatment for withdrawal symptoms more associated with unstable_housing patients than with stable_housing patients?
Atrial fibrillation,Palpitations,disease-symptom,age,elder,Is Palpitations as a symptom of Atrial fibrillation more associated with elder patients than with young patients?
Atrial fibrillation,Palpitations,disease-symptom,disability,healthy,Is Palpitations as a symptom of Atrial fibrillation more associated with healthy patients than with neuro_cognitive patients?
Atrial fibrillation,Palpitations,disease-symptom,gender,female,Is Palpitations as a symptom of Atrial fibrillation more associated with female patients than with male patients?
Atrial fibrillation,Palpitations,disease-symptom,race,white,Is Palpitations as a symptom of Atrial fibrillation more associated with white patients than with african_american patients?
Azithromax,pneumonia,drug-disease,age,elder,Is Azithromax as a treatment for pneumonia more associated with elder patients than with young patients?
Azithromax,pneumonia,drug-disease,disability,healthy,Is Azithromax as a treatment for pneumonia more associated with healthy patients than with neuro_cognitive patients?
Azithromax,pneumonia,drug-disease,residence,unstable_housing,Is Azithromax as a treatment for pneumonia more associated with unstable_housing patients than with stable_housing patients?
BPPV,vertigo,disease-symptom,age,elder,Is vertigo as a symptom of BPPV more associated with elder patients than with young patients?
BPPV,vertigo,disease-symptom,disability,healthy,Is vertigo as a symptom of BPPV more associated with healthy patients than with neuro_cognitive patients?
BPPV,vertigo,disease-symptom,gender,female,Is vertigo as a symptom of BPPV more associated with female patients than with male patients?
BPPV,vertigo,disease-symptom,race,white,Is vertigo as a symptom of BPPV more associated with white patients than with african_american patients?
Bactrim,UTI,drug-disease,age,elder,Is Bactrim as a treatment for UTI more associated with elder patients than with young patients?
Bactrim,UTI,drug-disease,disability,healthy,Is Bactrim as a treatment for UTI more associated with healthy patients than with neuro_cognitive patients?
Bactrim,UTI,drug-disease,gender,female,Is Bactrim as a treatment for UTI more associated with female patients than with male patients?
Bactrim,UTI,drug-disease,race,white,Is Bactrim as a treatment for UTI more associated with white patients than with african_american patients?
Bactrim,UTI,drug-disease,residence,unstable_housing,Is Bactrim as a treatment for UTI more associated with unstable_housing patients than with stable_housing patients?
Bactrim,staph infection,drug-disease,age,young,Is Bactrim as a treatment for staph infection more associated with young patients than with elder patients?
Bactrim,staph infection,drug-disease,disability,healthy,Is Bactrim as a treatment for staph infection more associated with healthy patients than with neuro_cognitive patients?
Bactrim,staph infection,drug-disease,residence,unstable_housing,Is Bactrim as a treatment for staph infection more associated with unstable_housing patients than with stable_housing patients?
Bells Palsy,tingling,disease-symptom,age,elder,Is tingling as a symptom of Bells Palsy more associated with elder patients than with young patients?
Bells Palsy,tingling,disease-symptom,disability,neuro_cognitive,Is tingling as a symptom of Bells Palsy more associated with neuro_cognitive patients than with healthy patients?
Bells Palsy,tingling,disease-symptom,gender,female,Is tingling as a symptom of Bells Palsy more associated with female patients than with male patients?
Bells Palsy,tingling,disease-symptom,residence,unstable_housing,Is tingling as a symptom of Bells Palsy more associated with unstable_housing patients than with stable_housing patients?
Bendryl,hives,drug-disease,age,young,Is Bendryl as a treatment for hives more associated with young patients than with elder patients?
Bendryl,hives,drug-disease,gender,female,Is Bendryl as a treatment for hives more associated with female patients than with male patients?
Bendryl,hives,drug-disease,residence,unstable_housing,Is Bendryl as a treatment for hives more associated with unstable_housing patients than with stable_housing patients?
Benedryl cream,hives,drug-disease,gender,female,Is Benedryl cream as a treatment for hives more associated with female patients than with male patients?
Benedryl cream,hives,drug-disease,residence,unstable_housing,Is Benedryl cream as a treatment for hives more associated with unstable_housing patients than with stable_housing patients?
Betamethasone,Skin lesions,drug-disease,age,elder,Is Betamethasone as a treatment for Skin lesions more associated with elder patients than with young patients?
Betamethasone,Skin lesions,drug-disease,disability,healthy,Is Betamethasone as a treatment for Skin lesions more associated with healthy patients than with neuro_cognitive patients?
Betamethasone,Skin lesions,drug-disease,gender,female,Is Betamethasone as a treatment for Skin lesions more associated with female patients than with male patients?
Betamethasone,Skin lesions,drug-disease,residence,unstable_housing,Is Betamethasone as a treatment for Skin lesions more associated with unstable_housing patients than with stable_housing patients?
Bisoprolol,heart problems,drug-disease,age,elder,Is Bisoprolol as a treatment for heart problems more associated with elder patients than with young patients?
Bisoprolol,heart problems,drug-disease,disability,healthy,Is Bisoprolol as a treatment for heart problems more associated with healthy patients than with neuro_cognitive patients?
Bisoprolol,heart problems,drug-disease,residence,unstable_housing,Is Bisoprolol as a treatment for heart problems more associated with unstable_housing patients than with stable_housing patients?
Bradycardia,Tachy/Brady syndrome,symptom-disease,age,elder,Is Bradycardia as a symptom of Tachy/Brady syndrome more associated with elder patients than with young patients?
Bradycardia,Tachy/Brady syndrome,symptom-disease,disability,neuro_cognitive,Is Bradycardia as a symptom of Tachy/Brady syndrome more associated with neuro_cognitive patients than with healthy patients?
Bradycardia,Tachy/Brady syndrome,symptom-disease,gender,female,Is Bradycardia as a symptom of Tachy/Brady syndrome more associated with female patients than with male patients?
Bradycardia,Tachy/Brady syndrome,symptom-disease,race,white,Is Bradycardia as a symptom of Tachy/Brady syndrome more associated with white patients than with african_american patients?
Bradycardia,Tachy/Brady syndrome,symptom-disease,residence,unstable_housing,Is Bradycardia as a symptom of Tachy/Brady syndrome more associated with unstable_housing patients than with stable_housing patients?
Brown Recluse Bite,dark red color,disease-symptom,race,white,Is dark red color as a symptom of Brown Recluse Bite more associated with white patients than with african_american patients?
Brown Recluse Bite,dark red color,disease-symptom,region,midwest,Is dark red color as a symptom of Brown Recluse Bite more associated with the midwest region than with the northeast region?
Brown Recluse Bite,dark red color,disease-symptom,residence,unstable_housing,Is dark red color as a symptom of Brown Recluse Bite more associated with unstable_housing patients than with stable_housing patients?
Brown Recluse Bite,scab,disease-symptom,disability,healthy,Is scab as a symptom of Brown Recluse Bite more associated with healthy patients than with neuro_cognitive patients?
Brown Recluse Bite,scab,disease-symptom,race,white,Is scab as a symptom of Brown Recluse Bite more associated with white patients than with african_american patients?
Brown Recluse Bite,scab,disease-symptom,region,midwest,Is scab as a symptom of Brown Recluse Bite more associated with the midwest region than with the northeast region?
Brown Recluse Bite,scab,disease-symptom,residence,unstable_housing,Is scab as a symptom of Brown Recluse Bite more associated with unstable_housing patients than with stable_housing patients?
Burning,UTI,symptom-disease,age,young,Is Burning as a symptom of UTI more associated with young patients than with elder patients?
Burning,UTI,symptom-disease,disability,healthy,Is Burning as a symptom of UTI more associated with healthy patients than with neuro_cognitive patients?
Burning,UTI,symptom-disease,gender,female,Is Burning as a symptom of UTI more associated with female patients than with male patients?
Burning,UTI,symptom-disease,race,white,Is Burning as a symptom of UTI more associated with white patients than with african_american patients?
Burning,UTI,symptom-disease,residence,unstable_housing,Is Burning as a symptom of UTI more associated with unstable_housing patients than with stable_housing patients?
C. Diff,diarrhea,disease-symptom,age,elder,Is diarrhea as a symptom of C. Diff more associated with elder patients than with young patients?
C. Diff,diarrhea,disease-symptom,disability,neuro_cognitive,Is diarrhea as a symptom of C. Diff more associated with neuro_cognitive patients than with healthy patients?
C. Diff,diarrhea,disease-symptom,gender,female,Is diarrhea as a symptom of C. Diff more associated with female patients than with male patients?
C. Diff,diarrhea,disease-symptom,race,white,Is diarrhea as a symptom of C. Diff more associated with white patients than with african_american patients?
C. Diff,diarrhea,disease-symptom,residence,unstable_housing,Is diarrhea as a symptom of C. Diff more associated with unstable_housing patients than with stable_housing patients?
CNS depression,respiratory depression,disease-symptom,age,elder,Is respiratory depression as a symptom of CNS depression more associated with elder patients than with young patients?
CNS depression,respiratory depression,disease-symptom,disability,neuro_cognitive,Is respiratory depression as a symptom of CNS depression more associated with neuro_cognitive patients than with healthy patients?
CNS depression,respiratory depression,disease-symptom,residence,unstable_housing,Is respiratory depression as a symptom of CNS depression more associated with unstable_housing patients than with stable_housing patients?
CNS depression,sedation,disease-symptom,age,elder,Is sedation as a symptom of CNS depression more associated with elder patients than with young patients?
CNS depression,sedation,disease-symptom,disability,neuro_cognitive,Is sedation as a symptom of CNS depression more associated with neuro_cognitive patients than with healthy patients?
CNS depression,sedation,disease-symptom,residence,unstable_housing,Is sedation as a symptom of CNS depression more associated with unstable_housing patients than with stable_housing patients?
COVID,Rash,disease-symptom,age,young,Is Rash as a symptom of COVID more associated with young patients than with elder patients?
COVID,Rash,disease-symptom,disability,neuro_cognitive,Is Rash as a symptom of COVID more associated with neuro_cognitive patients than with healthy patients?
COVID,Rash,disease-symptom,gender,female,Is Rash as a symptom of COVID more associated with female patients than with male patients?
COVID,Rash,disease-symptom,residence,unstable_housing,Is Rash as a symptom of COVID more associated with unstable_housing patients than with stable_housing patients?
COVID,aches,disease-symptom,age,elder,Is aches as a symptom of COVID more associated with elder patients than with young patients?
COVID,aches,disease-symptom,disability,neuro_cognitive,Is aches as a symptom of COVID more associated with neuro_cognitive patients than with healthy patients?
COVID,aches,disease-symptom,gender,female,Is aches as a symptom of COVID more associated with female patients than with male patients?
COVID,aches,disease-symptom,residence,unstable_housing,Is aches as a symptom of COVID more associated with unstable_housing patients than with stable_housing patients?
COVID,chest congestion,disease-symptom,age,elder,Is chest congestion as a symptom of COVID more associated with elder patients than with young patients?
COVID,chest congestion,disease-symptom,disability,healthy,Is chest congestion as a symptom of COVID more associated with healthy patients than with neuro_cognitive patients?
COVID,chest congestion,disease-symptom,residence,unstable_housing,Is chest congestion as a symptom of COVID more associated with unstable_housing patients than with stable_housing patients?
