entity1,entity2,relationship_type,question1,question2,question3
shooting pain,sciatica,symptom-disease,Is shooting pain a symptom?,Is sciatica a disease?,Is shooting pain a symptom of sciatica?
basilar stenosis,headaches,disease-symptom,Is basilar stenosis a disease?,Is headaches a symptom?,Is headaches a symptom of basilar stenosis?
blood thinners,stroke,drug-disease,Is blood thinners a drug?,Is stroke a disease?,Is blood thinners used to treat stroke?
anti-stroke medication,stroke,drug-disease,Is anti-stroke medication a drug?,Is stroke a disease?,Is anti-stroke medication used to treat stroke?
headaches,basilar stenosis,symptom-disease,Is headaches a symptom?,Is basilar stenosis a disease?,Is headaches a symptom of basilar stenosis?
long covid,sensitive to heat,disease-symptom,Is long covid a disease?,Is sensitive to heat a symptom?,Is sensitive to heat a symptom of long covid?
Lovan,depression,drug-disease,Is Lovan a drug?,Is depression a disease?,Is Lovan used to treat depression?
depression,tired,disease-symptom,Is depression a disease?,Is tired a symptom?,Is tired a symptom of depression?
tired,depression,symptom-disease,Is tired a symptom?,Is depression a disease?,Is tired a symptom of depression?
cauda equina syndrome,bowel/bladder incontinence,disease-symptom,Is cauda equina syndrome a disease?,Is bowel/bladder incontinence a symptom?,Is bowel/bladder incontinence a symptom of cauda equina syndrome?
cauda equina syndrome,numbness,disease-symptom,Is cauda equina syndrome a disease?,Is numbness a symptom?,Is numbness a symptom of cauda equina syndrome?
cauda equina syndrome,tingling,disease-symptom,Is cauda equina syndrome a disease?,Is tingling a symptom?,Is tingling a symptom of cauda equina syndrome?
cauda equina syndrome,back pain,disease-symptom,Is cauda equina syndrome a disease?,Is back pain a symptom?,Is back pain a symptom of cauda equina syndrome?
bowel/bladder incontinence,cauda equina syndrome,symptom-disease,Is bowel/bladder incontinence a symptom?,Is cauda equina syndrome a disease?,Is bowel/bladder incontinence a symptom of cauda equina syndrome?
numbness,cauda equina syndrome,symptom-disease,Is numbness a symptom?,Is cauda equina syndrome a disease?,Is numbness a symptom of cauda equina syndrome?
tingling,cauda equina syndrome,symptom-disease,Is tingling a symptom?,Is cauda equina syndrome a disease?,Is tingling a symptom of cauda equina syndrome?
back pain,cauda equina syndrome,symptom-disease,Is back pain a symptom?,Is cauda equina syndrome a disease?,Is back pain a symptom of cauda equina syndrome?
Lorazepam,liver injury,drug-disease,Is Lorazepam a drug?,Is liver injury a disease?,Is Lorazepam used to treat liver injury?
liver injury,elevated ALT,disease-symptom,Is liver injury a disease?,Is elevated ALT a symptom?,Is elevated ALT a symptom of liver injury?
liver injury,elevated AST,disease-symptom,Is liver injury a disease?,Is elevated AST a symptom?,Is elevated AST a symptom of liver injury?
GAD,anxiety,disease-symptom,Is GAD a disease?,Is anxiety a symptom?,Is anxiety a symptom of GAD?
Panic Disorder,extreme distress,disease-symptom,Is Panic Disorder a disease?,Is extreme distress a symptom?,Is extreme distress a symptom of Panic Disorder?
intrusive thoughts,OCD,symptom-disease,Is intrusive thoughts a symptom?,Is OCD a disease?,Is intrusive thoughts a symptom of OCD?
flu,fever,disease-symptom,Is flu a disease?,Is fever a symptom?,Is fever a symptom of flu?
flu,cough,disease-symptom,Is flu a disease?,Is cough a symptom?,Is cough a symptom of flu?
flu,chills,disease-symptom,Is flu a disease?,Is chills a symptom?,Is chills a symptom of flu?
fever,flu,symptom-disease,Is fever a symptom?,Is flu a disease?,Is fever a symptom of flu?
cough,flu,symptom-disease,Is cough a symptom?,Is flu a disease?,Is cough a symptom of flu?
chills,flu,symptom-disease,Is chills a symptom?,Is flu a disease?,Is chills a symptom of flu?
bronchitis,slight cough,disease-symptom,Is bronchitis a disease?,Is slight cough a symptom?,Is slight cough a symptom of bronchitis?
inner ear infection,pressure,disease-symptom,Is inner ear infection a disease?,Is pressure a symptom?,Is pressure a symptom of inner ear infection?
amoxicillin,bronchitis,drug-disease,Is amoxicillin a drug?,Is bronchitis a disease?,Is amoxicillin used to treat bronchitis?
azithromycin,inner ear infection,drug-disease,Is azithromycin a drug?,Is inner ear infection a disease?,Is azithromycin used to treat inner ear infection?
pulmonary embolism,chest pain,disease-symptom,Is pulmonary embolism a disease?,Is chest pain a symptom?,Is chest pain a symptom of pulmonary embolism?
pulmonary embolism,breathlessness,disease-symptom,Is pulmonary embolism a disease?,Is breathlessness a symptom?,Is breathlessness a symptom of pulmonary embolism?
amoxicillin,sinus infection,drug-disease,Is amoxicillin a drug?,Is sinus infection a disease?,Is amoxicillin used to treat sinus infection?
Alprazolam ER,chronic insomnia,drug-disease,Is Alprazolam ER a drug?,Is chronic insomnia a disease?,Is Alprazolam ER used to treat chronic insomnia?
Ambien,chronic insomnia,drug-disease,Is Ambien a drug?,Is chronic insomnia a disease?,Is Ambien used to treat chronic insomnia?
Dozepin,chronic insomnia,drug-disease,Is Dozepin a drug?,Is chronic insomnia a disease?,Is Dozepin used to treat chronic insomnia?
Lamotrigine,seizure,drug-disease,Is Lamotrigine a drug?,Is seizure a disease?,Is Lamotrigine used to treat seizure?
Melatonin,chronic insomnia,drug-disease,Is Melatonin a drug?,Is chronic insomnia a disease?,Is Melatonin used to treat chronic insomnia?
Amitriptyline,chronic insomnia,drug-disease,Is Amitriptyline a drug?,Is chronic insomnia a disease?,Is Amitriptyline used to treat chronic insomnia?
Trazodone,chronic insomnia,drug-disease,Is Trazodone a drug?,Is chronic insomnia a disease?,Is Trazodone used to treat chronic insomnia?
PTSD,shouts,disease-symptom,Is PTSD a disease?,Is shouts a symptom?,Is shouts a symptom of PTSD?
Holiday Heart,Afib,disease-symptom,Is Holiday Heart a disease?,Is Afib a symptom?,Is Afib a symptom of Holiday Heart?
Candersartin,high blood pressure,drug-disease,Is Candersartin a drug?,Is high blood pressure a disease?,Is Candersartin used to treat high blood pressure?
Clopidegral,stroke,drug-disease,Is Clopidegral a drug?,Is stroke a disease?,Is Clopidegral used to treat stroke?
Gastritis,nausea,disease-symptom,Is Gastritis a disease?,Is nausea a symptom?,Is nausea a symptom of Gastritis?
ulcer,vomiting,disease-symptom,Is ulcer a disease?,Is vomiting a symptom?,Is vomiting a symptom of ulcer?
cancer,weight loss,disease-symptom,Is cancer a disease?,Is weight loss a symptom?,Is weight loss a symptom of cancer?
toothpaste allergy,allergic reaction,disease-symptom,Is toothpaste allergy a disease?,Is allergic reaction a symptom?,Is allergic reaction a symptom of toothpaste allergy?
eczema,sensitive skin,disease-symptom,Is eczema a disease?,Is sensitive skin a symptom?,Is sensitive skin a symptom of eczema?
toothpaste allergy,mouth peels,disease-symptom,Is toothpaste allergy a disease?,Is mouth peels a symptom?,Is mouth peels a symptom of toothpaste allergy?
toothpaste allergy,tongue coated in thick white goop,disease-symptom,Is toothpaste allergy a disease?,Is tongue coated in thick white goop a symptom?,Is tongue coated in thick white goop a symptom of toothpaste allergy?
slurred speech,neurological disease,symptom-disease,Is slurred speech a symptom?,Is neurological disease a disease?,Is slurred speech a symptom of neurological disease?
hallucinating,neurological disease,symptom-disease,Is hallucinating a symptom?,Is neurological disease a disease?,Is hallucinating a symptom of neurological disease?
liver damage,nausea,disease-symptom,Is liver damage a disease?,Is nausea a symptom?,Is nausea a symptom of liver damage?
liver damage,fatigue,disease-symptom,Is liver damage a disease?,Is fatigue a symptom?,Is fatigue a symptom of liver damage?
liver damage,jaundice,disease-symptom,Is liver damage a disease?,Is jaundice a symptom?,Is jaundice a symptom of liver damage?
nausea,liver damage,symptom-disease,Is nausea a symptom?,Is liver damage a disease?,Is nausea a symptom of liver damage?
fatigue,liver damage,symptom-disease,Is fatigue a symptom?,Is liver damage a disease?,Is fatigue a symptom of liver damage?
jaundice,liver damage,symptom-disease,Is jaundice a symptom?,Is liver damage a disease?,Is jaundice a symptom of liver damage?
lexapro,anxiety,drug-disease,Is lexapro a drug?,Is anxiety a disease?,Is lexapro used to treat anxiety?
buspar,anxiety,drug-disease,Is buspar a drug?,Is anxiety a disease?,Is buspar used to treat anxiety?
Zoloft,anxiety,drug-disease,Is Zoloft a drug?,Is anxiety a disease?,Is Zoloft used to treat anxiety?
anxiety,dizziness,disease-symptom,Is anxiety a disease?,Is dizziness a symptom?,Is dizziness a symptom of anxiety?
anxiety,panic attacks,disease-symptom,Is anxiety a disease?,Is panic attacks a symptom?,Is panic attacks a symptom of anxiety?
LPR,trouble swallowing,disease-symptom,Is LPR a disease?,Is trouble swallowing a symptom?,Is trouble swallowing a symptom of LPR?
GERD,trouble swallowing,disease-symptom,Is GERD a disease?,Is trouble swallowing a symptom?,Is trouble swallowing a symptom of GERD?
shortness of breath,anxiety,symptom-disease,Is shortness of breath a symptom?,Is anxiety a disease?,Is shortness of breath a symptom of anxiety?
giardiasis,egg burps,disease-symptom,Is giardiasis a disease?,Is egg burps a symptom?,Is egg burps a symptom of giardiasis?
strangulated hernia,pain,disease-symptom,Is strangulated hernia a disease?,Is pain a symptom?,Is pain a symptom of strangulated hernia?
strangulated hernia,visible bulge,disease-symptom,Is strangulated hernia a disease?,Is visible bulge a symptom?,Is visible bulge a symptom of strangulated hernia?
Duloxetine,Depression,drug-disease,Is Duloxetine a drug?,Is Depression a disease?,Is Duloxetine used to treat Depression?
Venlafaxine,Depression,drug-disease,Is Venlafaxine a drug?,Is Depression a disease?,Is Venlafaxine used to treat Depression?
Fluoxetine,Depression,drug-disease,Is Fluoxetine a drug?,Is Depression a disease?,Is Fluoxetine used to treat Depression?
Sertraline,Depression,drug-disease,Is Sertraline a drug?,Is Depression a disease?,Is Sertraline used to treat Depression?
Depression,Anhedonia/emotional blunting,disease-symptom,Is Depression a disease?,Is Anhedonia/emotional blunting a symptom?,Is Anhedonia/emotional blunting a symptom of Depression?
Depression,Suicidal ideation,disease-symptom,Is Depression a disease?,Is Suicidal ideation a symptom?,Is Suicidal ideation a symptom of Depression?
Suicidal ideation,Depression,symptom-disease,Is Suicidal ideation a symptom?,Is Depression a disease?,Is Suicidal ideation a symptom of Depression?
eczema,rash,disease-symptom,Is eczema a disease?,Is rash a symptom?,Is rash a symptom of eczema?
pulled muscle,pain,disease-symptom,Is pulled muscle a disease?,Is pain a symptom?,Is pain a symptom of pulled muscle?
tramadol,seizure,drug-disease,Is tramadol a drug?,Is seizure a disease?,Is tramadol used to treat seizure?
Amitriptyline,serotonin syndrome,drug-disease,Is Amitriptyline a drug?,Is serotonin syndrome a disease?,Is Amitriptyline used to treat serotonin syndrome?
Citalopram,serotonin syndrome,drug-disease,Is Citalopram a drug?,Is serotonin syndrome a disease?,Is Citalopram used to treat serotonin syndrome?
refeeding syndrome,dizzy,disease-symptom,Is refeeding syndrome a disease?,Is dizzy a symptom?,Is dizzy a symptom of refeeding syndrome?
diabetes,super hungry,disease-symptom,Is diabetes a disease?,Is super hungry a symptom?,Is super hungry a symptom of diabetes?
diabetes,thirst,disease-symptom,Is diabetes a disease?,Is thirst a symptom?,Is thirst a symptom of diabetes?
diabetes,fatigue,disease-symptom,Is diabetes a disease?,Is fatigue a symptom?,Is fatigue a symptom of diabetes?
tingling,diabetes,symptom-disease,Is tingling a symptom?,Is diabetes a disease?,Is tingling a symptom of diabetes?
asthma attack,coughing/trouble breathing,disease-symptom,Is asthma attack a disease?,Is coughing/trouble breathing a symptom?,Is coughing/trouble breathing a symptom of asthma attack?
singulair,allergic asthma,drug-disease,Is singulair a drug?,Is allergic asthma a disease?,Is singulair used to treat allergic asthma?
albuterol,asthma attack,drug-disease,Is albuterol a drug?,Is asthma attack a disease?,Is albuterol used to treat asthma attack?
respiratory depression,coma,disease-symptom,Is respiratory depression a disease?,Is coma a symptom?,Is coma a symptom of respiratory depression?
Pepcid,heartburn,drug-disease,Is Pepcid a drug?,Is heartburn a disease?,Is Pepcid used to treat heartburn?
Gaviscon,heartburn,drug-disease,Is Gaviscon a drug?,Is heartburn a disease?,Is Gaviscon used to treat heartburn?
asian flush,redness,disease-symptom,Is asian flush a disease?,Is redness a symptom?,Is redness a symptom of asian flush?
Pendred syndrome,inner ear malformation,disease-symptom,Is Pendred syndrome a disease?,Is inner ear malformation a symptom?,Is inner ear malformation a symptom of Pendred syndrome?
Perioral Dermatitis,red rash,disease-symptom,Is Perioral Dermatitis a disease?,Is red rash a symptom?,Is red rash a symptom of Perioral Dermatitis?
Digenta,wet eczema,drug-disease,Is Digenta a drug?,Is wet eczema a disease?,Is Digenta used to treat wet eczema?
wet eczema,itchy,disease-symptom,Is wet eczema a disease?,Is itchy a symptom?,Is itchy a symptom of wet eczema?
wet eczema,watery,disease-symptom,Is wet eczema a disease?,Is watery a symptom?,Is watery a symptom of wet eczema?
wet eczema,ulceration,disease-symptom,Is wet eczema a disease?,Is ulceration a symptom?,Is ulceration a symptom of wet eczema?
throat infection,sore throat,disease-symptom,Is throat infection a disease?,Is sore throat a symptom?,Is sore throat a symptom of throat infection?
throat infection,fever,disease-symptom,Is throat infection a disease?,Is fever a symptom?,Is fever a symptom of throat infection?
throat infection,headache,disease-symptom,Is throat infection a disease?,Is headache a symptom?,Is headache a symptom of throat infection?
Amoxicillin,throat infection,drug-disease,Is Amoxicillin a drug?,Is throat infection a disease?,Is Amoxicillin used to treat throat infection?
fentanyl,overdose,drug-disease,Is fentanyl a drug?,Is overdose a disease?,Is fentanyl used to treat overdose?
neurodevelopmental problems,cognitive problems,disease-symptom,Is neurodevelopmental problems a disease?,Is cognitive problems a symptom?,Is cognitive problems a symptom of neurodevelopmental problems?
STD,small bumps,disease-symptom,Is STD a disease?,Is small bumps a symptom?,Is small bumps a symptom of STD?
STD,itchy,disease-symptom,Is STD a disease?,Is itchy a symptom?,Is itchy a symptom of STD?
anorexia,weight,disease-symptom,Is anorexia a disease?,Is weight a symptom?,Is weight a symptom of anorexia?
sertraline,anxiety,drug-disease,Is sertraline a drug?,Is anxiety a disease?,Is sertraline used to treat anxiety?
birth control,period,drug-disease,Is birth control a drug?,Is period a disease?,Is birth control used to treat period?
endometrial cancer,Abnormal vaginal bleeding,disease-symptom,Is endometrial cancer a disease?,Is Abnormal vaginal bleeding a symptom?,Is Abnormal vaginal bleeding a symptom of endometrial cancer?
endometrial cancer,brown discharge,disease-symptom,Is endometrial cancer a disease?,Is brown discharge a symptom?,Is brown discharge a symptom of endometrial cancer?
endometrial cancer,chronic pelvic pains,disease-symptom,Is endometrial cancer a disease?,Is chronic pelvic pains a symptom?,Is chronic pelvic pains a symptom of endometrial cancer?
endometrial cancer,pelvic pains,disease-symptom,Is endometrial cancer a disease?,Is pelvic pains a symptom?,Is pelvic pains a symptom of endometrial cancer?
albuterol,asthma,drug-disease,Is albuterol a drug?,Is asthma a disease?,Is albuterol used to treat asthma?
painful urination,urinary tract infection,symptom-disease,Is painful urination a symptom?,Is urinary tract infection a disease?,Is painful urination a symptom of urinary tract infection?
urinary tract infection,pain,disease-symptom,Is urinary tract infection a disease?,Is pain a symptom?,Is pain a symptom of urinary tract infection?
Diabetes Type 1,DKA,disease-symptom,Is Diabetes Type 1 a disease?,Is DKA a symptom?,Is DKA a symptom of Diabetes Type 1?
shingles,pain,disease-symptom,Is shingles a disease?,Is pain a symptom?,Is pain a symptom of shingles?
shingles,rash,disease-symptom,Is shingles a disease?,Is rash a symptom?,Is rash a symptom of shingles?
shingles,blisters,disease-symptom,Is shingles a disease?,Is blisters a symptom?,Is blisters a symptom of shingles?
shingles,itch,disease-symptom,Is shingles a disease?,Is itch a symptom?,Is itch a symptom of shingles?
acyclovir cream,shingles,drug-disease,Is acyclovir cream a drug?,Is shingles a disease?,Is acyclovir cream used to treat shingles?
herpes,rash,disease-symptom,Is herpes a disease?,Is rash a symptom?,Is rash a symptom of herpes?
HSV-2,rash,disease-symptom,Is HSV-2 a disease?,Is rash a symptom?,Is rash a symptom of HSV-2?
rash,herpes,symptom-disease,Is rash a symptom?,Is herpes a disease?,Is rash a symptom of herpes?
rash,HSV-2,symptom-disease,Is rash a symptom?,Is HSV-2 a disease?,Is rash a symptom of HSV-2?
Levofloxacin,cystitis,drug-disease,Is Levofloxacin a drug?,Is cystitis a disease?,Is Levofloxacin used to treat cystitis?
chronic pancreatitis,dull pain,disease-symptom,Is chronic pancreatitis a disease?,Is dull pain a symptom?,Is dull pain a symptom of chronic pancreatitis?
chronic pancreatitis,stabbing pain,disease-symptom,Is chronic pancreatitis a disease?,Is stabbing pain a symptom?,Is stabbing pain a symptom of chronic pancreatitis?
