Unnamed: 0,id,question,options,correct_answer,correct_index,labels,matched_categories
10,88,"A 43-year-old man is brought to the emergency department because of a fever, cough, pleuritic chest pain, and dyspnea. Two days ago, he returned from a construction site along the Mississippi River. Abdominal examination shows a palpable spleen. An x-ray of the chest shows diffuse reticulonodular infiltrates. Therapy with a drug that binds ergosterol is initiated. This patient is most likely to experience which of the following adverse effects?","{'0': 'Hypomagnesemia', '1': 'Histamine release', '2': 'Leukopenia', '3': 'Cytochrome P450 induction'}",Hypomagnesemia,0,"['male', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'Mississippi', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",3
11,89,"A 2-month-old girl is brought to the pediatrician by her concerned father. He states that ever since her uncomplicated delivery she has failed to gain weight, has had chronic diarrhea, and has had multiple bacterial and viral infections. During the course of the workup, an absent thymic shadow is noted and a lymph node biopsy demonstrates the absence of germinal centers. Which of the following is the most likely cause of this patient's symptoms?","{'0': 'Defect in ATM gene', '1': 'Adenosine deaminase deficiency', '2': 'NADPH oxidase deficiency', '3': 'Defect in BTK gene'}",Adenosine deaminase deficiency,1,"['male', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",1
12,95,"A 30-year old African-American woman comes into your office for pregnancy counseling with her husband. She states that both she and her husband have family histories of sickle cell disease. Based on previous genetic testing, they both also have a copy of the sickle cell gene from their parents, but neither of them has ever manifested symptoms associated with the disease. They want to conceive and are concerned about the chances that their child might have the disease. What is the chance the offspring will be a child WITHOUT sickle cell anemia?","{'0': '1/2', '1': '3/4', '2': '1/4', '3': '2/3'}",4-Mar,1,"['female', 'N/A', 'N/A', 'African', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'single-family home']",3
13,96,"A 75-year-old man presents to the emergency department with a racing heart and lightheadedness for 3 hours. He has had similar episodes in the past, but the symptoms never lasted this long. He denies chest pain, shortness of breath, headaches, and fevers. He had a myocardial infarction 4 years ago and currently takes captopril, metoprolol, and atorvastatin. His pulse is irregular and cardiac auscultation reveals an irregular heart rhythm. Laboratory reports show:
Serum glucose 88 mg/dL
Sodium 142 mEq/L
Potassium 3.9 mEq/L
Chloride 101 mEq/L
Serum creatinine 0.8 mg/dL
Blood urea nitrogen 10 mg/dL
Cholesterol, total 170 mg/dL
HDL-cholesterol 40 mg/dL
LDL-cholesterol 80 mg/dL
Triglycerides 170 mg/dL
Hematocrit 38%
Hemoglobin 13 g/dL
Leucocyte count 7,500/mm3
Platelet count 185,000 /mm3
Activated partial thromboplastin time (aPTT) 30 seconds
Prothrombin time (PT) 12 seconds
Cardiac enzymes Negative
An ECG shows the absence of P-waves with an irregular RR complex. A few hours later, his symptoms subside and he is discharged with an additional anticoagulation drug. Which of the following mechanisms explains how this new medication will exert its effects?","{'0': 'Activation of the antithrombin enzyme', '1': 'Inhibition of the cyclooxygenase enzyme', '2': 'Inhibition of vitamin K-dependent clotting factors', '3': 'Blockage of glycoprotein IIb/IIIa receptors'}",Inhibition of vitamin K-dependent clotting factors,2,"['male', 'senior (65+)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'scientist', 'N/A', 'N/A']",3
14,104,"One 30-year-old woman complained of fever and joint pain since two weeks. 37.6 deg.] C temperature with a red rash cheekbones on both sides. Antinuclear antibodies (ANA) test for 1: 1600 positive, anti-double-stranded DNA antibodies was 1: 3200 positive, the serum creatinine (Creatinine) value increases, and the complement is reduced, the VDRL positive, prothrombin time (PT) and part of the original thromboplastin time (aPPT) were prolonged. Such autoantibodies can interfere with blood clotting test result of abnormal results, and what kind of symptoms can cause?","{'0': 'arthritis', '1': 'Recurrent thrombosis', '2': 'Red rash', '3': 'Kidney failure'}",Recurrent thrombosis,1,"['female', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
15,115,"A 62-year-old man with end-stage renal disease is brought to the emergency department because of fever, severe abdominal pain, and shaking chills for 4 hours. His last hemodialysis was 2 days ago. On arrival, he appears ill and is poorly responsive. Blood cultures grow gram-positive, catalase-positive cocci that express mecA. Intravenous antibiotic therapy is begun with an agent that disrupts cell membranes by creating transmembrane channels. Which of the following adverse events is associated with the use of this agent?","{'0': 'Photosensitivity', '1': 'Rhabdomyolysis', '2': 'Ototoxicity', '3': 'QT prolongation'}",Rhabdomyolysis,1,"['male', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
16,118,"A 22-year-old woman comes to the physician because of a 5-kg (11-lb) weight gain and hair loss over the past 4 months. Menarche occurred at the age of 12 years and menses occurred at irregular intervals until she stopped having periods 2 months ago. She is 165 cm (5 ft 5 in) tall and weighs 82 kg (180 lb); BMI is 30 kg/m2. Physical examination shows a receding hairline and hair loss over the vertex of the head. Serum studies show:
Thyroid-stimulating hormone 2 μU/mL
Luteinizing hormone 32 mIU/mL
Prolactin 11 ng/mL
Urine pregnancy test is negative. Withdrawal bleeding occurs after a progestin challenge test. The most likely cause of amenorrhea in this patient is an increase in production of which of the following hormones?""","{'0': 'Progesterone in corpus luteum', '1': 'Estrogen in adipose tissue', '2': 'Follicle stimulating hormone in the adenohypophysis', '3': 'Dopamine in the hypothalamus'}",Estrogen in adipose tissue,1,"['female', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",3
17,119,"A 12-year-old boy because the penis is too short and treatment, physical examination found that 3 cm long penis, scrotum small, non-palpable testicles, hypospadias without development and no pubic hair, blood tests showed that serum follicle stimulating hormone (FSH) and promoting luteinizing hormone (LH) were higher than the normal range, testosterone (Testosterone) value of <0.2 ng / mL. That one of the following checks at least help with the diagnosis?","{'0': 'Chromosome', '1': 'Pituitary function tests', '2': 'hCG stimulation test', '3': 'Antimüllerian hormone serum concentrations'}",Pituitary function tests,1,"['male', 'young (<18)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
18,120,DNA is more resistant than RNA to alkaline hydrolysis because:,"{'0': 'It is double-stranded.', '1': ""The 2 'carbons are attached to 2 H atoms while in the RNA they are attached to an H atom and an OH group."", '2': 'DNA has T nucleotides instead of U.', '3': 'It forms stable tertiary structures.'}",The 2 'carbons are attached to 2 H atoms while in the RNA they are attached to an H atom and an OH group.,1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
19,127,"A 46-year-old man presents to his physician because of persistent pelvic and scrotal pain for the past month. He also has had occasional fevers, chills, dysuria, and increased urinary frequency over the last few months. He was prescribed trimethoprim and sulfamethoxazole for the urinary symptoms, but he is still having symptoms currently. He is sexually active with multiple male and female partners and uses condoms inconsistently. The patient has hypertension and takes lisinopril.  He also takes PrEP (Truvada, which contains tenofovir and emtricitabine). On physical exam, his temperature is 36.7℃ (98.1℉), the blood pressure is 115/70 mm Hg, the pulse is 74/min, and the respirations are 14/min. A digital rectal exam reveals a mildly tender and mildly enlarged prostate. Urine specimens are sent for culture and sensitivity testing. A urine sample taken after prostate massage shows a 10-fold increase in bacteria counts. The test results for antimicrobial sensitivity include ampicillin, cefepime, gentamicin, levofloxacin, and meropenem. The patient is prescribed tamsulosin. Which of the following is the most appropriate antibiotic to pair with the tamsulosin?","{'0': 'Cefepime', '1': 'Gentamicin', '2': 'Levofloxacin', '3': 'Trimethoprim and sulfamethoxazole'}",Levofloxacin,2,"['male', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",3
20,129,A 51-year-old male patient complained of long-term lower back pain for many years. BRIEF lumbar spine X-ray photography. Why is the most likely diagnosis?,"{'0': 'ankylosing spondylitis', '1': 'spinal bone metastasis', '2': 'infectious spondylodiscitis', '3': 'degenerative spinal disease'}",ankylosing spondylitis,0,"['male', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
21,131,Parathyroid hormone (PTH) exerts its effect soncalcium metabolism by acting on receptors present on the–,"{'0': 'Osteoclasts', '1': 'Osteocytes', '2': 'Macrophages', '3': 'None of these'}",Osteocytes,1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
22,132,"When the acid poisoning, give the main reason NaHCO3 Why?","{'0': 'Increased at a rate of acidic drug metabolism in the liver', '1': 'Changing the stability of an acidic drug in the blood', '2': 'Increasing drug free form in the blood, which will help glomerular filtration', '3': 'Reduction of drug recycling in the renal tubules'}",Reduction of drug recycling in the renal tubules,3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
23,136,Most common cause of lobar consolidation,"{'0': 'Mycoplasma', '1': 'Chlamydia', '2': 'Streptococcus', '3': 'Legionela'}",Streptococcus,2,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
24,138,"A 42-year-old man is brought to the emergency department because of a 2-day history of dyspnea, chest pain, and hemoptysis that were preceded by 4 days of myalgia and a low-grade fever. He is currently visiting the United States as a tourist from Turkey, where he works at a factory that processes sheep wool and hide. An x-ray of the chest shows widening of the mediastinum. A sputum culture grows gram-positive rods in gray colonies that have irregular margins with wavy projections on microscopy. Which of the following virulence factors of the causal organism increased its survival in host tissue?","{'0': 'Glutamate capsule', '1': 'Toxin B', '2': 'IgA protease', '3': 'Sulfatides'}",Glutamate capsule,0,"['male', 'adult (18-64)', 'N/A', 'N/A', 'usa', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",3
25,140,Preconceptional intake of which of the following results in decrease in incidence of neural tube defect:,"{'0': 'Vitamin A', '1': 'Folate', '2': 'Vitamin E', '3': 'Vitamin C'}",Folate,1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
26,146,"In humans, ascorbic acid cannot be synthesized because of ?","{'0': 'Deficiency of G6PD', '1': 'Deficiency of xylulose kinase', '2': 'Deficiency of L-gulonolactone oxidase', '3': 'Deficiency of phosphoglucomutase'}",Deficiency of L-gulonolactone oxidase,2,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
27,155,Early fusion of the coronal suture results in,"{'0': 'Brachycephaly', '1': 'Oxycephaly', '2': 'Trigonocephaly', '3': 'Scaphocephaly'}",Brachycephaly,0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
28,156,"A 75-year-old man comes to the physician because of a 7-day history of nausea and vomiting. Over the past 2 days, he has also been feeling weak and tired. When standing up after sitting for a while, he feels dizzy. He says he has to go to the bathroom more often than usual, and that he is urinating “a normal amount” each time. He has not had diarrhea. He has hypertension, for which he has been taking hydrochlorothiazide for the past 6 months. He drinks 9 glasses of water per day and takes his medication regularly. He is 168 cm (5 ft 6 in) tall and weighs 90 kg (198 lb); BMI is 32 kg/m2. His temperature is 36.5°C (97.7°F), blood pressure is 106/54 mm Hg, and pulse is 92/min. Physical examination shows whitening of the tongue. Skin that is pinched on the back of the hand retracts after 5 seconds. On mental status examination, his speech is slowed; he is oriented to person, place, and time. Laboratory studies show:
Serum
Na+ 150 mEq/L
Cl− 97 mEq/L
K+ 3.6 mEq/L
HCO3− 30 mEq/L
Osmolality 354 mOsm/kg
Hemoglobin A1C 10.5%
Urine
Osmolality 400 mOsm/kg
Which of the following is the most likely explanation for these findings?""","{'0': 'Diuretic overdose', '1': 'Osmotic diuresis', '2': 'Excess production of aldosterone', '3': 'Insufficient production of antidiuretic hormone'}",Osmotic diuresis,1,"['male', 'senior (65+)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",3
29,168,"A 53-year-old man comes to the physician because of a 2-week history of fatigue, generalized itching, and yellowing of the eyes and skin. He underwent a liver transplantation because of acute liver failure following α-amanitin poisoning 1 year ago. Physical examination shows scleral icterus and abdominal distention with shifting dullness. A liver biopsy specimen shows decreased hepatic duct density. Further histological examination of the liver biopsy specimen is most likely to show which of the following findings?","{'0': 'Graft vessel vasculitis', '1': 'Fibrinoid necrosis', '2': 'Interstitial fibrosis', '3': 'Viral inclusions\n""'}",Interstitial fibrosis,2,"['male', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",3
30,173,A previously healthy 2-month-old boy is brought to the physician because of a 10-day history of poor feeding. He used to feed for 20 minutes but now needs 40 minutes. He struggles to breathe and sweats while feeding. He was born at 38 weeks' gestation. He is at the 20th percentile for length and 10th percentile for weight. His vital signs are within normal limits. Pulse oximetry on room air shows an oxygen saturation of 98%. A grade 3/6 holosystolic murmur is heard at the left lower sternal border. An ECG shows left-axis deviation. An x-ray of the chest shows an enlarged left atrium and ventricle and increased pulmonary vascular markings. Doppler echocardiography confirms the presence of an intracardiac shunt. Which of the following is the most likely explanation for the direction of flow of blood across this shunt?,"{'0': 'Communication between the right and left atria', '1': 'Right ventricular outflow tract obstruction', '2': 'Increase in pulmonary vascular resistance', '3': 'Decrease in pulmonary vascular resistance'}",Decrease in pulmonary vascular resistance,3,"['male', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",2
31,185,"A 44-year-old woman comes to the physician because of pain and swelling below her left eye for 3 days. She has also had excessive watering from her eyes during this period. She has no history of serious illness and takes no medications. Her temperature is 37°C (98.6°F), pulse is 90/min, and blood pressure is 110/70 mm Hg. Examination shows erythema, tenderness, warmth, and swelling below the medial canthus of the left eye. There is purulent discharge from the lower lacrimal punctum on palpation of the swelling. The remainder of the examination shows no abnormalities. The discharge is sent for cultures. Which of the following is the most appropriate next step in management?","{'0': 'Topical ciprofloxacin', '1': 'Irrigation of lacrimal cannaliculi', '2': 'Oral amoxicillin-clavulanate therapy', '3': 'CT scan of the orbit\n""'}",Oral amoxicillin-clavulanate therapy,2,"['female', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",3
32,204,"A 3-week-old female presents with her parents to her pediatrician for a routine visit. The parents report that the child is sleeping in regular two-hour intervals and feeding and stooling well. They are concerned because they have on occasion noticed a “swelling of the belly button.” Cord separation occurred at seven days of age. The parents report that the swelling seems to come and go but is never larger than the size of a blueberry. They deny any drainage from the swelling. On physical exam, the child is in no acute distress and appears developmentally appropriate for her age. Her abdomen is soft and non-tender with a soft, 1 cm bulge at the umbilicus. The bulge increases in size when the child cries and can be easily reduced inside the umbilical ring without apparent pain.

Which of the following is the best next step in management?","{'0': 'Expectant management', '1': 'Histopathologic evaluation', '2': 'Elective surgical management', '3': 'Immediate surgical management'}",Expectant management,0,"['female', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'single-family home']",2
33,207,What is the physiological effect of parathyroid hormone or PTH ?:,"{'0': 'It intervenes in glandular growth.', '1': 'Involved in the metabolism of iron.', '2': 'Regulates the renal concentration of water.', '3': 'Involved in the control of extracellular concentrations of calcium and phosphate.'}",Involved in the control of extracellular concentrations of calcium and phosphate.,3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
34,211,A motorcyclist after road traffic accident is having raised aerial pCO2 on ABG. Probable cause can be:,"{'0': 'Damage to respiratory apparatus', '1': 'Damage to respiratory centre', '2': 'Damage to both respiratory apparatus and respiratory centre', '3': 'Massive lung contusion alone'}",Damage to both respiratory apparatus and respiratory centre,2,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
35,217,"A patient diagnosed with Rheumatoid ahritis was on medications. After 2 years, he developed a blurring vision and was found to have corneal opacity. Which drug is most likely to cause this?","{'0': 'Sulfasalazine', '1': 'Chloroquine', '2': 'Methotrexate', '3': 'Leflunomide'}",Chloroquine,1,"['male', 'young (<18)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
36,230,"Light cure system, side effect is:","{'0': 'Iritis', '1': 'Cataract', '2': 'Conjunctivitis', '3': 'Retinal damage'}",Retinal damage,3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
37,234,"A 50-year-old man comes to the physician because of swelling of his legs for 2 months. Three months ago, he was diagnosed with hypertension and started on a new medication. His blood pressure is 145/95 mm Hg. Physical examination shows 2+ edema in both lower extremities. Laboratory studies are within the reference ranges. This patient was most likely treated with which of the following drugs?","{'0': 'Losartan', '1': 'Spironolactone', '2': 'Hydrochlorothiazide', '3': 'Amlodipine'}",Amlodipine,3,"['male', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",3
38,240,Extraction of disto-angular impaction of mandibular 3rd molar can cause:,"{'0': 'Slippage in lingual pouch', '1': '# of ramus of mandible', '2': 'Excessive Haemorrhage', '3': 'Dry socket'}",# of ramus of mandible,1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
39,244,"A 4-year-old boy is brought to the physician because of a generalized rash for 3 days. During this period, he has had severe itching and was not able to sleep well. He has also had fever, headache, and some muscle pain. Five days ago, he had a runny nose which subsided with over-the-counter medications. He returned from a camping trip 1 week ago. He attends a daycare center. The patient is at the 55th percentile for height and at the 50th percentile for weight. His temperature is 38.2°C (100.7°F), pulse is 97/min, and blood pressure is 96/60 mm Hg. Examination of the skin shows several macules, papules, and crusted lesions over his face, trunk, and extremities. There are a few fluid-filled vesicles over his abdomen and back. There is no cervical lymphadenopathy. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?","{'0': 'Measles', '1': 'Urushiol-induced dermatitis', '2': 'Chickenpox', '3': 'Rubella'}",Chickenpox,2,"['male', 'young (<18)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",3
